No,Booking_ID,Vehicle_ID,Driver_ID,Trip_start_DT,Trip_end_DT,Start_Post,End_Post,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Fare,Distance,Order_Type,Start_Time,End_Time,Start_Slot,End_Slot,Patience_Level,DistrictCode
111354,35888D3F07AAA98E673B62D531E4F0,0A10241147D05BD24B4199C5CCE0EC,13982D16ECA32FF89653A002C43FA0,2016-12-01 10:42:00,2016-12-01 11:03:00,520210,560621,1.354012,103.9539,1.383045,103.8406,13.95,17.1,Street-Hailing,2021-11-25 10:42:00,2021-11-25 11:03:00,64.0,66.0,144,18.0
99217,B81D2105A01725CC0CAB3B8F2180FF,603E485961E677CFC4C8D7D7756B85,D5193D84F14592E054C4F777C40341,2016-12-01 09:59:00,2016-12-01 10:10:00,160115,138636,1.281182,103.8262,1.299129,103.7887,7.65,6.3,Street-Hailing,2021-11-25 09:59:32,2021-11-25 10:10:59,60.0,61.0,66,3.0
44931,4C9F10F2944A8914C2A68FF9EA97B1,AC301F4FBEA34BBC6E4578634CAC76,3280B269A8A9669F81F53BB2D79AE4,2016-12-01 06:31:00,2016-12-01 06:43:00,460515,486029,1.332008,103.9298,1.332843,103.9652,9.25,5.3,Street-Hailing,2021-11-25 06:31:44,2021-11-25 06:43:06,39.0,40.0,119,16.0
96402,C1552B569A2210EEF786915D5C51C2,25F37ADB3EE2D6A519D10E7D122912,8B8134B115638E2C04215280FA49DA,2016-12-01 09:50:00,2016-12-01 10:02:00,207227,179494,1.310929,103.857804,1.297356,103.845205,9.05,2.5,Booking,2021-11-25 09:50:00,2021-11-25 10:02:00,59.0,60.0,134,8.0
126027,DF52A6DD995B5863961E82F78B9F57,DDA44A7F938660E8C2944158836CA6,C27F97ACBB40067640019A12CBADC3,2016-12-01 11:35:00,2016-12-01 11:40:00,680511,680204,1.389397,103.7408,1.380499,103.7491,5.0,1.6,Street-Hailing,2021-11-25 11:35:26,2021-11-25 11:40:53,70.0,70.0,130,23.0
79349,DAC8FAE296746A32F2D259C427D6B4,A21F0838EBA46FEFA751B1108564B4,51A1A33589FD288D29430B754FEF89,2016-12-01 08:55:00,2016-12-01 09:17:00,268817,189767,1.312936,103.803533,1.295839,103.856329,18.35,8.8,Booking,2021-11-25 08:55:21,2021-11-25 09:17:44,54.0,56.0,147,10.0
72292,32BE340ECF4A5232E77E8D0FC0060E,3B1857D3508B6A51CC8AB60AC0BFFD,E4A5E93A8CF15240E1387619347432,2016-12-01 08:32:00,2016-12-01 09:10:00,530525,119074,1.374897,103.891256,1.294736,103.782853,33.55,21.4,Booking,2021-11-25 08:32:00,2021-11-25 09:10:00,51.0,55.0,38,19.0
67108,6C9529AA2576B2DEEB9B4580E20B45,1F4ACB4D775CFD3666432995EEA3E6,E0A8B287F6505AA3FE25CADA6A4591,2016-12-01 08:14:00,2016-12-01 08:42:00,760353,729372,1.426236,103.8452,1.425214,103.7501,18.55,16.0,Street-Hailing,2021-11-25 08:14:02,2021-11-25 08:42:44,49.0,52.0,42,27.0
78866,1E4AB4DAE0E8598F3FDA5C0A5CBBD0,99C4F8C06A0290CE9C1869D3E514B4,D5434B95BBE53226812B500DE21D4E,2016-12-01 08:53:00,2016-12-01 09:02:00,600023,627902,1.322852,103.7392,1.315769,103.6992,8.1,6.0,Street-Hailing,2021-11-25 08:53:57,2021-11-25 09:02:02,53.0,54.0,141,22.0
86025,585102C05AA2F525458786FB3ECCF0,CA7616B0CE5F94114C5C8FA00FF326,2423C57CEADE2C6A29F3A65D2447AE,2016-12-01 09:16:00,2016-12-01 09:43:00,650539,149598,1.354802,103.750716,1.303007,103.796334,18.15,11.3,Booking,2021-11-25 09:16:25,2021-11-25 09:43:22,56.0,58.0,78,23.0
