No,Driver_ID,Start_Time,Start_Post,Start_Latitude,Start_Longitude,End_Time,End_Post,End_Latitude,End_Longitude,Schedule_Date,Service_Quality,Start_Slot,End_Slot,DistrictCode
24564,3D5E38326E45BFD01BBC34F700DDA7,2016-12-01 10:22:20,460125,1.328878,103.938952,2016-12-01 20:32:32,540113,1.383816,103.901676,2/12/2016,81.24858862,62,123,16.0
13856,4A93D9DF0C2CE24229166BAB41927A,2016-12-01 06:34:38,643517,1.344936,103.719972,2016-12-01 19:07:18,640821,1.347,103.694113,2/12/2016,76.67976397,39,115,22.0
10371,F919FE82D9EC375DC04E764CE6BF93,2016-12-01 05:10:46,828768,1.401563,103.897719,2016-12-01 16:16:33,541215,1.389849,103.893227,2/12/2016,67.9128717,31,98,19.0
10766,24B3F82EA4BA0CBB656621A682B1D1,2016-12-01 05:25:22,550530,1.373384,103.872405,2016-12-01 13:26:59,486036,1.333341,103.962653,2/12/2016,72.86408152,32,81,19.0
11981,173A36291066769098FCE6AEF97C33,2016-12-01 06:02:52,680471,1.378585,103.737143,2016-12-01 14:41:50,670542,1.38308,103.763725,2/12/2016,73.74174822,36,88,23.0
21940,D75BBAA7217BA3A0A055C792D5BA30,2016-12-01 08:40:33,670234,1.378542,103.771788,2016-12-01 21:36:10,828811,1.392192,103.915163,2/12/2016,73.02630973,52,130,23.0
12249,0F7EFD9E45DB095A262B3C7188544A,2016-12-01 06:07:40,520139,1.34669,103.956506,2016-12-01 13:29:59,629888,1.29814,103.677844,2/12/2016,86.9962002,37,81,18.0
2039,E87A020DEE11E7CBB339E13FDD221E,2016-12-01 00:08:00,680113,1.377988,103.750801,2016-12-01 23:27:00,823261,1.299509,103.837,2/12/2016,73.64429651,1,141,23.0
12688,FE0138F61E6467A1FAF7219C054B46,2016-12-01 06:15:34,541268,1.384262,103.896552,2016-12-01 18:59:39,543311,1.391837,103.88439,2/12/2016,71.13059302,38,114,19.0
14623,AF120C79778AB83ABD7217868AAA04,2016-12-01 06:47:34,819643,1.355322,103.988337,2016-12-01 14:56:28,819642,1.362159,103.990051,2/12/2016,67.29606354,41,90,17.0
12515,35FC71F94A31376CAD38F40C92CBEA,2016-12-01 06:12:30,670183,1.380008,103.762942,2016-12-01 15:12:29,670413,1.382353,103.768682,2/12/2016,67.10015433,37,91,23.0
5473,2EDE31EA1D630B96E6708872CB39A4,2016-12-01 00:28:00,819643,1.355322,103.988337,2016-12-01 05:20:27,49318,1.284184,103.852536,2/12/2016,83.50029007,3,32,17.0
6338,8C738B25532139365DED984CFFFAA9,2016-12-01 00:36:31,268844,1.314075,103.805178,2016-12-01 05:08:00,600261,1.344447,103.740231,2/12/2016,64.4508911,4,31,10.0
10907,B3C97B193F50BB47653256ACB8C915,2016-12-01 05:30:49,640422,1.350349,103.726318,2016-12-01 15:16:18,637566,1.287076,103.631588,2/12/2016,68.55206128,33,92,22.0
17815,CAEAB2AF7CF99B3C1BBAC13CCFF8B1,2016-12-01 07:34:12,819642,1.362159,103.990051,2016-12-01 17:08:42,798386,1.40962,103.86819,2/12/2016,67.0063356,45,103,17.0
