No,Driver_ID,Start_Time,Start_Post,Start_Latitude,Start_Longitude,End_Time,End_Post,End_Latitude,End_Longitude,Schedule_Date,Service_Quality,Start_Slot,End_Slot,DistrictCode
19620,D5FA853CF5F351A665CE9E64177757,2016-12-01 07:59:46,510138,1.363361,103.959677,2016-12-01 23:56:58,822617,1.402303,103.91239,2/12/2016,67.99813523,48,144,18.0
21253,BA91C0437A942508955401BF79138E,2016-12-01 08:26:27,469299,1.321792,103.943547,2016-12-01 17:11:05,682812,1.299509,103.837,2/12/2016,96.01007285,51,103,16.0
19731,AAF4AEA22FE3763C8DF84F535E168D,2016-12-01 08:01:00,560332,1.361755,103.851834,2016-12-01 16:38:00,358362,1.331576,103.866614,2/12/2016,81.74249991,48,100,20.0
14908,1C4B88E87548B86B4344F10926D9F6,2016-12-01 06:52:15,650291,1.343683,103.755999,2016-12-01 15:45:55,437435,1.296547,103.866727,2/12/2016,76.29471379,41,94,23.0
14267,BE7B68DB2C4827AB2CD8F52ABD3D5A,2016-12-01 06:41:55,819643,1.355322,103.988337,2016-12-01 09:26:37,149733,1.299364,103.801277,2/12/2016,82.516453,40,57,17.0
20721,6FBE1CCCDDE92BFE42323261BC5DE1,2016-12-01 08:16:37,659920,1.351859,103.759147,2016-12-01 15:18:30,649930,1.34287,103.712983,2/12/2016,86.53847767,50,92,23.0
22769,A09BD7E7CA6582EF97E51209DEDF4C,2016-12-01 09:01:22,465010,1.322267,103.936678,2016-12-01 23:41:45,389611,1.314777,103.890571,2/12/2016,85.9005211,54,142,16.0
16194,CCC130A274FA48CF358C84C853CBBB,2016-12-01 07:11:46,401001,1.321389,103.902556,2016-12-01 17:07:54,544823,1.381311,103.891762,2/12/2016,80.69673574,43,103,14.0
18486,9CA553E8EEAC00DB5CA2D1BE1E343B,2016-12-01 07:43:19,461056,1.325364,103.941535,2016-12-01 23:57:45,510515,1.374208,103.94295,2/12/2016,84.77875592,46,144,16.0
15407,F75E084BF1E3E3DD9F6D2FEB0D8EAE,2016-12-01 07:00:00,752467,1.450923,103.813678,2016-12-01 21:17:00,750468,1.450748,103.81395,2/12/2016,82.49668629,42,128,27.0
11551,FE96BA786AB8DA007E9FBA9B9411E9,2016-12-01 05:52:03,760357,1.42591,103.845927,2016-12-01 15:25:19,555946,1.363834,103.866839,2/12/2016,85.65509165,35,92,27.0
6568,EF242ED7EA99DE1E455D952847C141,2016-12-01 00:39:41,640424,1.351083,103.724857,2016-12-01 23:51:40,88840,1.27968,103.842498,2/12/2016,64.99727194,4,143,22.0
18324,EB2C970ADBF7399644C0FFA66C896E,2016-12-01 07:41:07,570292,1.355914,103.845588,2016-12-01 13:54:11,760786,1.421454,103.831947,2/12/2016,78.12539044,46,83,20.0
16454,BD521D68C1CDCA5B7357491464B0C9,2016-12-01 07:15:25,460531,1.333222,103.926193,2016-12-01 14:23:10,308441,1.322189,103.846468,2/12/2016,86.32888549,44,86,16.0
17194,318D2AB62A66C899F4C127019D8ACF,2016-12-01 07:25:27,680249,1.379596,103.745559,2016-12-01 23:02:16,730708,1.440022,103.79721,2/12/2016,78.24587988,44,138,23.0
11262,5EF4874DD6EF8F9843D95F5E18C9CE,2016-12-01 05:42:55,162131,1.280931,103.828223,2016-12-01 16:35:19,239733,1.299331,103.838526,2/12/2016,93.05467864,34,100,3.0
16696,9B6825999F3F3579068C9DBF038B4C,2016-12-01 07:18:49,791443,1.39117,103.874321,2016-12-01 14:36:53,319377,1.338568,103.851669,2/12/2016,74.73451729,44,88,28.0
24588,E488F2373BEBB85C43C162FFB26BD2,2016-12-01 10:23:49,640746,1.347382,103.69809,2016-12-01 17:42:57,640419,1.350907,103.726859,2/12/2016,80.70586876,62,106,22.0
13102,6526990D15C14E95F858B2F6C66204,2016-12-01 06:22:36,659920,1.351859,103.759147,2016-12-01 14:33:31,768865,1.423907,103.848204,2/12/2016,78.72543879,38,87,23.0
22738,6B456343A4E8D5423F58DA609E90B7,2016-12-01 09:00:25,520261,1.354257,103.950836,2016-12-01 16:59:53,460039,1.321341,103.939327,2/12/2016,82.34256552,54,102,18.0
4660,B827037578F766F061898568A8C74E,2016-12-01 00:21:24,208699,1.307527,103.863101,2016-12-01 23:44:09,537055,1.339337,103.889632,2/12/2016,42.92265664,2,142,8.0
14973,E2EFB193D45AB599F8471194B12E53,2016-12-01 06:53:22,730530,1.43121,103.792958,2016-12-01 14:25:53,760113,1.434447,103.828588,2/12/2016,84.00008772,41,86,25.0
22977,B34FCBE1381FC4A1075F12F547D154,2016-12-01 09:07:39,428769,1.304351,103.904048,2016-12-01 18:40:44,436931,1.296977,103.872312,2/12/2016,94.86594088,55,112,15.0
10089,16F8E1F26F4ADCDCC8A18D3923F6F8,2016-12-01 04:59:27,560101,1.370292,103.839264,2016-12-01 16:53:14,760808,1.416968,103.830842,2/12/2016,88.31390194,30,101,20.0
24653,11B17BD648C16FA56D9F245494C6D7,2016-12-01 10:28:39,738082,1.444572,103.806493,2016-12-01 23:30:21,545015,1.39144,103.892774,2/12/2016,88.41631146,63,141,25.0
18549,256802E7348CF47B82DCCBEAD5466E,2016-12-01 07:44:10,228210,1.306595,103.831788,2016-12-01 11:19:17,268802,1.330685,103.795675,2/12/2016,31.60711414,46,68,9.0
9069,1346279F6E75834224BF79F937B70F,2016-12-01 03:29:28,319252,1.340145,103.855651,2016-12-01 10:29:08,162053,1.285778,103.830468,2/12/2016,74.23540681,21,63,12.0
19586,CBC169EF1ABFF3A87465FC103D4ECE,2016-12-01 07:59:17,470774,1.336755,103.936678,2016-12-01 17:45:05,520391,1.355875,103.958032,2/12/2016,87.24578914,48,106,16.0
22933,462AFB722E0FE555EA4F7FEE4CC688,2016-12-01 09:06:00,530160,1.352046,103.879036,2016-12-01 23:48:00,89000,1.280739,103.842289,2/12/2016,71.40440904,55,143,19.0
14157,C12A5DC5BDC11A1F2A4565242D915E,2016-12-01 06:40:00,730549,1.431763,103.794424,2016-12-01 22:14:00,140023,1.294276,103.799585,2/12/2016,90.0288771,40,133,25.0
12931,796920FB9B2090EA348A41590A7DC9,2016-12-01 06:19:34,520327,1.352456,103.958319,2016-12-01 17:15:24,521518,1.356362,103.938405,2/12/2016,76.37365006,38,104,18.0
25230,75878077EDF75DF71185B116DDDDCC,2016-12-01 11:16:11,751501,1.451793,103.820694,2016-12-01 16:48:00,560464,1.366846,103.856853,2/12/2016,70.98443392,68,101,27.0
14513,B4A89288968A3B8CFD3AA1647C18D6,2016-12-01 06:45:49,560617,1.377595,103.838024,2016-12-01 17:09:19,555876,1.369102,103.875445,2/12/2016,78.98396649,40,103,20.0
3098,C97818A8B0B8ADB09E77B041B2633D,2016-12-01 00:12:43,307506,1.321061,103.844476,2016-12-01 23:58:09,1,1.292474,103.856522,2/12/2016,76.00488418,1,144,11.0
25647,92F9DB49CCD7E0351F1123426B9929,2016-12-01 11:55:39,760211,1.431751,103.838056,2016-12-01 16:09:24,760652,1.42381,103.839995,2/12/2016,84.92184413,72,97,27.0
4768,1A556B0074D6B15024248C2B50C484,2016-12-01 00:22:10,59432,1.283639,103.843311,2016-12-01 22:13:14,570260,1.359655,103.842059,2/12/2016,100.0,2,133,1.0
11691,C1BAFD4EBDC71FE61CC7324ED16BD8,2016-12-01 05:56:29,819643,1.355322,103.988337,2016-12-01 16:11:03,520807,1.345854,103.936136,2/12/2016,86.67524153,36,97,17.0
13352,52E80C97CE5ACC52D890DDF9710A28,2016-12-01 06:26:47,600232,1.339832,103.740803,2016-12-01 16:03:20,229899,1.310644,103.847033,2/12/2016,68.4972271,39,96,22.0
17306,A33FD050EBFE991CDD01A412060AD9,2016-12-01 07:27:01,560302,1.367182,103.845533,2016-12-01 17:33:43,560445,1.366989,103.85559,2/12/2016,83.56929061,45,105,20.0
14661,898E8A1C1E2890C95A754E11446C44,2016-12-01 06:48:06,530142,1.353,103.88285,2016-12-01 23:59:47,367828,1.338263,103.880365,2/12/2016,48.10835924,41,144,19.0
6432,3EFDCDB08366B5D6E52262941AAED0,2016-12-01 00:37:49,730017,1.44282,103.777703,2016-12-01 19:53:03,760810,1.416221,103.83166,2/12/2016,84.71895146,4,119,25.0
12443,74D04E3BBB392C092D11A38295ECD4,2016-12-01 06:11:14,640538,1.350125,103.715762,2016-12-01 17:38:35,649848,1.334908,103.706428,2/12/2016,47.37415793,37,106,22.0
21311,4F28CF4F85ED30E12707FA5F69C269,2016-12-01 08:27:18,602287,1.338389,103.744268,2016-12-01 16:47:05,640525,1.347357,103.716163,2/12/2016,91.06565265,51,101,22.0
12110,6EB1ADDDCA6EA549C42CA66F093166,2016-12-01 06:05:00,521108,1.347925,103.948375,2016-12-01 18:52:33,791414,1.389164,103.879883,2/12/2016,84.80987732,36,113,18.0
10268,88E1F553AD573AD845F6E4236E5ADD,2016-12-01 05:06:48,600329,1.350096,103.730186,2016-12-01 14:59:06,640499,1.348384,103.7251,2/12/2016,57.52880667,31,90,22.0
4765,927E5EC2491F7691B179F8E8B40E39,2016-12-01 00:22:08,819642,1.362159,103.990051,2016-12-01 22:30:23,98544,1.299509,103.837,2/12/2016,69.2459951,2,135,17.0
15161,A178FCACD1431CD7AF4E87E7E79126,2016-12-01 06:56:24,680458,1.378041,103.736059,2016-12-01 18:07:08,680435,1.385081,103.740856,2/12/2016,85.14129619,42,109,23.0
14242,BADDF0F86BB13D4165C3BC28305F2A,2016-12-01 06:41:27,734689,1.444384,103.808769,2016-12-01 20:09:42,118454,1.279982,103.793694,2/12/2016,94.99974912,40,121,25.0
21602,E4E764E99BF8346A176F9F2B6AAD4A,2016-12-01 08:33:11,627606,1.333768,103.697502,2016-12-01 18:11:20,680507,1.388933,103.741297,2/12/2016,81.79484621,51,109,22.0
23526,A56FFEEA3627B6E8C52760CF85BBD8,2016-12-01 09:27:15,520894,1.348632,103.931897,2016-12-01 23:41:07,460426,1.32979,103.928503,2/12/2016,72.35193085,57,142,18.0
9437,A644E0D8D372265999F985F445D163,2016-12-01 04:16:07,640911,1.341612,103.686798,2016-12-01 13:58:59,608547,1.334308,103.741958,2/12/2016,78.71182131,26,84,22.0
22451,038467C3514E4D1FCD17E6E496B6E7,2016-12-01 08:52:37,670539,1.383172,103.763086,2016-12-01 17:34:06,598737,1.356108,103.765548,2/12/2016,63.77127444,53,105,23.0
24200,1B5465ED51BE1DA3A5E3B1834AD06B,2016-12-01 09:58:20,545023,1.359437,103.883715,2016-12-01 14:23:37,650341,1.36274,103.749213,2/12/2016,78.65575293,60,86,19.0
5764,59A0505949EB3548AE4510435A0473,2016-12-01 00:30:30,819664,1.358695,103.987985,2016-12-01 22:13:22,824106,1.397546,103.907234,2/12/2016,86.68270038,3,133,17.0
22445,B3BAB993CE785D1D81C53D473795E4,2016-12-01 08:52:19,510101,1.367035,103.958084,2016-12-01 15:06:42,109705,1.283043,103.80316,2/12/2016,78.97878168,53,91,18.0
8141,30E22783B18132017E08C9A1A723AD,2016-12-01 01:17:40,640433,1.352674,103.722989,2016-12-01 11:34:15,609731,1.33352,103.740277,2/12/2016,70.18111784,8,69,22.0
23789,2458B1404DC46AC2D494578151206C,2016-12-01 09:37:35,529498,1.36169,103.957859,2016-12-01 19:28:37,398664,1.312698,103.882399,2/12/2016,72.58140153,58,117,18.0
25517,305F2D1F6A798B2F8F415F42B2D7F3,2016-12-01 11:43:08,540252,1.393679,103.900791,2016-12-01 23:01:46,730842,1.443475,103.792352,2/12/2016,89.83044366,70,138,19.0
14190,5BF8571F0B7A5929CCF1E730693F67,2016-12-01 06:40:40,680294,1.378559,103.740838,2016-12-01 22:52:34,730888,1.437703,103.79527,2/12/2016,82.74176241,40,137,23.0
24614,B178295B6C3AD7A800B575331966E7,2016-12-01 10:25:59,730880,1.444485,103.792567,2016-12-01 15:37:57,682689,1.403193,103.749638,2/12/2016,55.55376998,62,94,25.0
22444,2F3DB1B1C9165A2434D9EE70006FC7,2016-12-01 08:52:18,819642,1.362159,103.990051,2016-12-01 23:25:13,738098,1.443689,103.804392,2/12/2016,59.35385747,53,140,17.0
21876,E908FFA19B0E60CD25CFEC133FC4EA,2016-12-01 08:39:05,644197,1.344324,103.7137,2016-12-01 19:37:26,238826,1.298811,103.846127,2/12/2016,64.67130335,52,118,22.0
13054,F59DB26367C22AB90098052819571E,2016-12-01 06:21:49,257530,1.316148,103.808125,2016-12-01 09:50:53,68805,1.299509,103.837,2/12/2016,82.42618214,38,59,10.0
6962,7E354A7A60889F66BE2B8702461BCF,2016-12-01 00:45:45,310247,1.331017,103.855049,2016-12-01 23:46:17,297776,1.324163,103.81758,2/12/2016,87.77260734,4,143,12.0
2270,E1E5DCF89D59F2142A61C7FBBB225B,2016-12-01 00:09:00,538751,1.351777,103.881277,2016-12-01 23:44:54,258354,1.313397,103.825775,2/12/2016,99.33923559,1,142,19.0
18189,7B95D4392AD423CC7AC269C1F220CE,2016-12-01 07:39:26,310172,1.330402,103.84311,2016-12-01 09:54:13,238857,1.302927,103.836284,2/12/2016,90.88835771,46,59,12.0
17708,C089B672C1CDAC81DACC07C631660B,2016-12-01 07:32:25,320014,1.323861,103.861971,2016-12-01 15:45:23,522860,1.355416,103.937101,2/12/2016,73.62469478,45,94,12.0
8437,A5E2A71E7F7D04B8AB08497D7CDA84,2016-12-01 01:41:03,819642,1.362159,103.990051,2016-12-01 21:18:03,573974,1.359527,103.84583,2/12/2016,82.67717473,10,128,17.0
5740,0EFA1CBC1F44726C4027AF4FC74D51,2016-12-01 00:30:15,819642,1.362159,103.990051,2016-12-01 20:54:53,650231,1.349161,103.754325,2/12/2016,89.36372562,3,125,17.0
8910,AF844FB8D8436DA344E0870718814B,2016-12-01 02:59:09,310008,1.337857,103.856446,2016-12-01 19:47:09,68630,1.299509,103.837,2/12/2016,79.14426137,18,119,12.0
5058,53DF49FF108B45F19CC34F10ED6FD9,2016-12-01 00:24:33,486785,1.335626,103.969563,2016-12-01 22:39:55,288453,1.326787,103.810569,2/12/2016,70.49658404,2,136,16.0
23279,77ACFCC247CACED8343D2043205A0E,2016-12-01 09:17:05,822624,1.399459,103.911705,2016-12-01 20:57:52,641638,1.341943,103.697609,2/12/2016,85.25146428,56,126,19.0
14881,60A85637ED0F5EFA2B4201679C852A,2016-12-01 06:51:53,238865,1.305151,103.832494,2016-12-01 16:08:57,653288,1.345891,103.759097,2/12/2016,87.849605,41,97,9.0
8529,1C752DE88E29FCEAABF02887D1F984,2016-12-01 01:55:16,18956,1.282275,103.858322,2016-12-01 23:41:50,544117,1.382838,103.90306,2/12/2016,88.98005446,12,142,1.0
19715,030F5874F2F515B3D3D578DFCB73E0,2016-12-01 08:00:50,560625,1.382273,103.841187,2016-12-01 13:28:24,506968,1.358924,103.969853,2/12/2016,81.5657029,48,81,20.0
22111,39F50196ABC542EF013686D2458574,2016-12-01 08:43:59,169907,1.28205,103.830177,2016-12-01 16:22:31,247933,1.304713,103.823345,2/12/2016,81.30249458,52,98,3.0
