No,Driver_ID,Start_Time,Start_Post,Start_Latitude,Start_Longitude,End_Time,End_Post,End_Latitude,End_Longitude,Schedule_Date,Service_Quality,Start_Slot,End_Slot,DistrictCode
9075,D56D23DEEF86F7048A5C6192FCA65D,2016-12-01 03:30:08,529510,1.352661,103.945245,2016-12-01 21:44:10,819643,1.355322,103.988337,2/12/2016,90.39434675,21,130,18.0
18796,BC94B03874F45318965F8770470DB9,2016-12-01 07:47:42,560322,1.368384,103.847635,2016-12-01 21:41:00,310115,1.340641,103.844182,2/12/2016,92.74298683,47,130,20.0
22902,1BC0529A869D9E8581F5337A157321,2016-12-01 09:05:00,532987,1.379468,103.878123,2016-12-01 15:52:00,238873,1.302707,103.834289,2/12/2016,82.0782118,54,95,19.0
5401,894995E042B6BDC0F9F26BCE41503B,2016-12-01 00:27:20,642653,1.336225,103.696675,2016-12-01 23:56:57,541128,1.299509,103.837,2/12/2016,89.7954184,3,144,22.0
20060,AD99F1B1D5054F42DB5350D7993116,2016-12-01 08:06:00,521869,1.355098,103.932812,2016-12-01 13:10:00,229837,1.310471,103.843538,2/12/2016,78.95241357,49,79,18.0
9061,4680823F8CA3214CCFD9E0602A8719,2016-12-01 03:27:56,640608,1.337947,103.700024,2016-12-01 20:34:45,659526,1.342267,103.752616,2/12/2016,78.48718057,21,123,22.0
4542,DB020DFA565D4B4C73C82C8764EC33,2016-12-01 00:20:37,641273,1.351302,103.703307,2016-12-01 23:48:38,536980,1.380524,103.881081,2/12/2016,76.09487066,2,143,22.0
18798,A8FDB8BEC3A0FE25DFC043C33253CD,2016-12-01 07:47:44,520206,1.350917,103.952245,2016-12-01 22:51:37,466830,1.315945,103.938855,2/12/2016,86.15946572,47,137,18.0
16806,F88E9B7A2EBA8AC712D8E62390E0A0,2016-12-01 07:20:04,689715,1.397314,103.74739,2016-12-01 17:30:06,680159,1.380225,103.756472,2/12/2016,100.0,44,105,23.0
11638,FAD5D871DE4ECE0CBA9468D99CB101,2016-12-01 05:54:55,309657,1.325551,103.838314,2016-12-01 12:49:02,179101,1.293497,103.852787,2/12/2016,46.39133447,35,77,11.0
16979,912D05C85A26F15EC4952CBB038ABB,2016-12-01 07:22:36,542116,1.382059,103.902366,2016-12-01 22:01:11,470150,1.336075,103.912631,2/12/2016,76.56989738,44,132,19.0
9768,C72FF776396CD4D7C3031C7E227D26,2016-12-01 04:42:42,90008,1.281699,103.842327,2016-12-01 15:55:04,249614,1.304026,103.823134,2/12/2016,93.79914403,28,96,4.0
11000,E74A2C2CAB7A456567F98737012729,2016-12-01 05:33:54,680631,1.396592,103.748029,2016-12-01 15:37:26,688847,1.382596,103.75036,2/12/2016,75.18186644,33,94,23.0
19456,6462C56D453A44EEE38909670A6462,2016-12-01 07:57:00,560584,1.37064,103.853431,2016-12-01 17:41:00,208532,1.310553,103.856475,2/12/2016,76.37880329,48,106,20.0
20570,0DE50F32EE0B35E747F6CDF6791E85,2016-12-01 08:14:08,680214,1.382762,103.746709,2016-12-01 16:14:26,310470,1.332046,103.849342,2/12/2016,58.57055924,49,97,23.0
10284,00C8D72EE2A3ED30B18281F7F2DADC,2016-12-01 05:07:32,642663,1.337961,103.70173,2016-12-01 17:24:09,651622,1.349833,103.748613,2/12/2016,72.96702245,31,104,22.0
11355,48B874AA9A3716387A2941F8A421A6,2016-12-01 05:46:04,730550,1.432946,103.794799,2016-12-01 19:28:48,820663,1.299509,103.837,2/12/2016,45.3758794,35,117,25.0
6683,210FBDE3C0C0CFB3D174FE0ABB2E2B,2016-12-01 00:41:27,237978,1.301049,103.835327,2016-12-01 23:31:23,822617,1.402303,103.91239,2/12/2016,60.79594774,4,141,9.0
24730,2390919F4CF48D4446F765C0718B9A,2016-12-01 10:32:53,640441,1.351323,103.720094,2016-12-01 23:53:01,88764,1.299509,103.837,2/12/2016,80.65950581,63,143,22.0
23612,26855D59D2794B6722CD51EB1ACC89,2016-12-01 09:30:09,207223,1.310965,103.856944,2016-12-01 16:06:25,98585,1.299509,103.837,2/12/2016,86.8304872,57,97,8.0
18153,D990AEA28689F4F0879CFC8F5C02A5,2016-12-01 07:38:56,730519,1.434346,103.792013,2016-12-01 17:22:31,757094,1.299509,103.837,2/12/2016,86.44787795,46,104,25.0
9537,496535CC932DA93DC02E9C5F08B985,2016-12-01 04:25:38,531471,1.377693,103.901698,2016-12-01 13:39:13,188539,1.299985,103.853885,2/12/2016,78.24587988,26,82,19.0
24686,855457CC716B8525A64AC74AA20825,2016-12-01 10:31:00,649412,1.34524,103.722869,2016-12-01 18:21:20,387495,1.314627,103.879998,2/12/2016,51.8211681,63,110,22.0
13894,1CA9E7C84FD21B607A00EA6737CE4A,2016-12-01 06:35:05,670471,1.388408,103.772752,2016-12-01 17:05:05,680429,1.382847,103.740168,2/12/2016,76.62345197,40,102,23.0
23925,37953FF88FDA0957927038816A3FD1,2016-12-01 09:43:18,791416,1.390427,103.879808,2016-12-01 22:42:45,530930,1.375388,103.881391,2/12/2016,85.64754178,58,136,28.0
19267,83CA437A45438B19EADAF9BE1A7DE2,2016-12-01 07:54:42,650248,1.350327,103.756462,2016-12-01 17:11:41,671546,1.388735,103.77018,2/12/2016,89.36285582,47,103,23.0
11164,377C4D672990556350C4B1E38AD1EB,2016-12-01 05:39:47,610347,1.340313,103.719949,2016-12-01 19:59:33,649964,1.348533,103.710976,2/12/2016,78.95056824,34,120,22.0
16892,CAFD51490E627BE2C65B4705BB180E,2016-12-01 07:21:25,650137,1.350608,103.744956,2016-12-01 15:17:23,791434,1.393849,103.875957,2/12/2016,66.99383081,44,92,23.0
5621,41136D67D517741925C7862329DBBA,2016-12-01 00:29:15,730825,1.438774,103.789281,2016-12-01 23:50:59,239497,1.291076,103.834437,2/12/2016,87.27017211,3,143,25.0
12442,0517829CD1D6FE133EF40ACB73EA06,2016-12-01 06:11:13,760174,1.4374,103.831785,2016-12-01 16:52:13,228892,1.311928,103.846623,2/12/2016,76.25087241,37,101,27.0
21602,E4E764E99BF8346A176F9F2B6AAD4A,2016-12-01 08:33:11,627606,1.333768,103.697502,2016-12-01 18:11:20,680507,1.388933,103.741297,2/12/2016,81.79484621,51,109,22.0
4145,B4FD9A4304CFF6C4F1186A72C48A9E,2016-12-01 00:18:12,330066,1.320065,103.869493,2016-12-01 19:52:08,150015,1.285942,103.81707,2/12/2016,93.88066428,2,119,12.0
10999,07E5BA2D60167ECEB071170A9CFC16,2016-12-01 05:33:50,101078,1.273512,103.809024,2016-12-01 23:36:39,609927,1.32681,103.748282,2/12/2016,83.89828955,33,142,4.0
2270,E1E5DCF89D59F2142A61C7FBBB225B,2016-12-01 00:09:00,538751,1.351777,103.881277,2016-12-01 23:44:54,258354,1.313397,103.825775,2/12/2016,99.33923559,1,142,19.0
12818,931CCE229D30400F6E326D89C08656,2016-12-01 06:17:46,828816,1.400669,103.90428,2016-12-01 17:16:25,821203,1.399628,103.903653,2/12/2016,78.25977977,38,104,19.0
17792,A57CEEA9B088E9223D889767348B11,2016-12-01 07:33:48,140050,1.293701,103.808661,2016-12-01 20:09:33,545322,1.367362,103.879979,2/12/2016,86.486666,45,121,3.0
560,C3A571D3C06A34A8AE4396771A1F04,2016-12-01 00:02:10,39593,1.292937,103.857002,2016-12-01 23:28:07,600317,1.347063,103.730897,2/12/2016,80.20731863,0,141,1.0
16882,649A5559631EF793B90D5D8F44ACE5,2016-12-01 07:21:18,350135,1.334654,103.86679,2016-12-01 16:43:53,310149,1.333821,103.843945,2/12/2016,81.63747743,44,100,13.0
8260,7BA7C83747350F9C79A8DF1CFB351C,2016-12-01 01:25:18,469332,1.321835,103.931045,2016-12-01 09:54:44,461027,1.32394,103.92344,2/12/2016,80.70498942,8,59,16.0
22158,66C091B514E074FA40A9064D425223,2016-12-01 08:44:53,650417,1.3629,103.746187,2016-12-01 21:35:30,730836,1.440097,103.791621,2/12/2016,74.7009378,52,130,23.0
18189,7B95D4392AD423CC7AC269C1F220CE,2016-12-01 07:39:26,310172,1.330402,103.84311,2016-12-01 09:54:13,238857,1.302927,103.836284,2/12/2016,90.88835771,46,59,12.0
21168,FC372D6DCA3991F3EBED59794C87E0,2016-12-01 08:24:44,730503,1.432492,103.791855,2016-12-01 23:28:06,760260,1.435489,103.839147,2/12/2016,69.18705075,50,141,25.0
11625,733589CA0F82EBF33F8B597944F0C2,2016-12-01 05:54:25,530021,1.364231,103.891251,2016-12-01 15:41:48,556112,1.350689,103.864707,2/12/2016,76.78698936,35,94,19.0
6706,788B044E8DD2D18D1D58EE29B7BB5D,2016-12-01 00:41:45,49326,1.282531,103.853582,2016-12-01 23:11:07,791434,1.393849,103.875957,2/12/2016,64.95358562,4,139,1.0
25356,CFD3D51B42211EF6D9D09C310B8637,2016-12-01 11:27:22,819663,1.356716,103.98651,2016-12-01 23:48:12,1,1.292474,103.856522,2/12/2016,86.12000294,69,143,17.0
10612,AE105858CD53C38ADB485E0048DAC7,2016-12-01 05:19:50,138597,1.306317,103.773775,2016-12-01 05:48:42,819643,1.355322,103.988337,2/12/2016,76.59924764,32,35,5.0
15077,C9F5F953EE2E33F41702861136135E,2016-12-01 06:55:00,543225,1.388546,103.898937,2016-12-01 18:23:44,823603,1.403425,103.907878,2/12/2016,73.72225975,42,110,19.0
21687,ED3697ACBFE4FA37306F553177AB60,2016-12-01 08:34:59,760124,1.434661,103.830971,2016-12-01 13:04:14,534801,1.349505,103.873768,2/12/2016,83.27536188,51,78,27.0
5468,0842F2402DCBE2B06DE0CE493E942F,2016-12-01 00:28:00,228510,1.304574,103.835553,2016-12-01 14:05:00,322101,1.319673,103.861129,2/12/2016,65.81317226,3,84,9.0
17454,E86D727F3A5DB7470FC79DC041B3A9,2016-12-01 07:29:10,277113,1.317502,103.779518,2016-12-01 16:47:48,329717,1.322287,103.852828,2/12/2016,90.92642941,45,101,10.0
13046,CFEDA751A52BF4A1EE0278A56154E4,2016-12-01 06:21:41,641661,1.335665,103.704883,2016-12-01 18:54:48,338987,1.306139,103.866068,2/12/2016,78.2517735,38,113,22.0
6402,5C943DE01919AEE6C1845E0D1D4112,2016-12-01 00:37:23,599491,1.329766,103.776529,2016-12-01 22:58:01,610367,1.3381,103.719078,2/12/2016,64.0384335,4,138,21.0
20942,B6C5CF3693ABD63A3665DCF7972977,2016-12-01 08:20:05,320001,1.323537,103.8614,2016-12-01 16:25:46,118222,1.291094,103.785103,2/12/2016,84.06752941,50,98,12.0
14825,C7954112DEAF16E15DB7619D89EE48,2016-12-01 06:50:46,470719,1.336439,103.924689,2016-12-01 23:32:27,199754,1.300931,103.859307,2/12/2016,85.56236364,41,141,16.0
12410,52C8BC828A33AAF7DCA2C880347DB4,2016-12-01 06:10:35,760314,1.431632,103.841751,2016-12-01 14:54:53,670539,1.383172,103.763086,2/12/2016,8.480569709,37,89,27.0
19280,79BC97B35560A7F2A725FCD9AE65BC,2016-12-01 07:54:55,529903,1.341659,103.953661,2016-12-01 21:00:21,520879,1.352041,103.930972,2/12/2016,89.34606109,47,126,18.0
16454,BD521D68C1CDCA5B7357491464B0C9,2016-12-01 07:15:25,460531,1.333222,103.926193,2016-12-01 14:23:10,308441,1.322189,103.846468,2/12/2016,86.32888549,44,86,16.0
16277,35BEB3827364C921649FD61870E8D3,2016-12-01 07:12:58,544317,1.393291,103.887781,2016-12-01 15:33:38,188430,1.301141,103.855128,2/12/2016,92.87319988,43,93,19.0
13376,DBC11E8364063330606143EE5FA880,2016-12-01 06:27:04,672633,1.385099,103.758581,2016-12-01 16:44:38,650309,1.358299,103.748787,2/12/2016,87.4402142,39,100,23.0
16561,738D4F04CAED1E0DA143CBBF4F8F47,2016-12-01 07:16:53,824305,1.406105,103.906987,2016-12-01 18:59:11,560312,1.36624,103.848753,2/12/2016,87.89615794,44,114,19.0
25315,2AF93657908FD618DAD281521575EB,2016-12-01 11:23:51,819642,1.362159,103.990051,2016-12-01 21:06:59,199586,1.303563,103.86555,2/12/2016,82.15958758,68,127,17.0
20655,0F8C5085C8558309FBF504B6D34159,2016-12-01 08:15:44,524497,1.359674,103.958913,2016-12-01 20:44:29,819642,1.362159,103.990051,2/12/2016,78.93471561,50,124,18.0
2610,7A12F3662F691AC527D4E0A980B496,2016-12-01 00:10:28,819643,1.355322,103.988337,2016-12-01 22:34:07,460084,1.331431,103.939424,2/12/2016,47.53644134,1,135,17.0
