No,Driver_ID,Start_Time,Start_Post,Start_Latitude,Start_Longitude,End_Time,End_Post,End_Latitude,End_Longitude,Schedule_Date,Service_Quality,Start_Slot,End_Slot,DistrictCode
1712,1E6CE3E9C8B8457E95266E7D85B1F3,2016-12-01 00:06:33,49910,1.294129,103.808334,2016-12-01 22:29:42,479263,1.299509,103.837,2/12/2016,74.35134179,1,135,1.0
12876,DCDDAA0EEC49CB10F5572BD5F7718D,2016-12-01 06:18:41,610334,1.339019,103.722558,2016-12-01 22:47:40,611337,1.337648,103.723342,2/12/2016,75.9596619,38,137,22.0
15537,7C2E00C934DDC4765D72EC4344A812,2016-12-01 07:02:00,791447,1.392224,103.87261,2016-12-01 19:35:49,160073,1.283555,103.832304,2/12/2016,65.04061801,42,118,28.0
7382,53635B9D8193F1B6100C75380C0DA2,2016-12-01 00:53:48,819642,1.362159,103.990051,2016-12-01 23:56:30,737941,1.431405,103.785904,2/12/2016,73.83061038,5,144,17.0
15704,FC8BF964F91C490FFC83D77433AB49,2016-12-01 07:04:29,529882,1.341127,103.956518,2016-12-01 18:03:21,18953,1.281744,103.867383,2/12/2016,64.08995468,42,108,18.0
18249,E41521E7549E203D244D374A5F2342,2016-12-01 07:40:11,768445,1.413707,103.834822,2016-12-01 15:03:51,308441,1.322189,103.846468,2/12/2016,83.33203957,46,90,27.0
14825,C7954112DEAF16E15DB7619D89EE48,2016-12-01 06:50:46,470719,1.336439,103.924689,2016-12-01 23:32:27,199754,1.300931,103.859307,2/12/2016,86.64591798,41,141,16.0
4247,F5117BAB47D6F502F32B4F4B372FC4,2016-12-01 00:18:47,819642,1.362159,103.990051,2016-12-01 23:59:40,819661,1.357373,103.98807,2/12/2016,65.07091399,2,144,17.0
2831,718AC037D13471B1539B1F4866F835,2016-12-01 00:11:29,39393,1.292009,103.85588,2016-12-01 23:38:47,530708,1.366651,103.889006,2/12/2016,75.4670702,1,142,1.0
9599,7888CB6A281CB884DFD5F0DF03E55F,2016-12-01 04:30:42,640828,1.345053,103.693138,2016-12-01 11:57:01,640470,1.348161,103.721143,2/12/2016,71.25013339,27,72,22.0
11930,B0446B1A5303DF853EFE5E1DC72310,2016-12-01 06:01:55,819663,1.356716,103.98651,2016-12-01 15:46:36,98648,1.265146,103.815105,2/12/2016,77.48809974,36,95,17.0
17525,624D9D1CCDA630C1482F9C7AB0D37A,2016-12-01 07:30:00,90109,1.299509,103.837,2016-12-01 19:56:00,809485,1.38872,103.863547,2/12/2016,70.16398826,45,120,4.0
3124,021088D45CC9D0601E81C1FB264276,2016-12-01 00:12:50,519599,1.379085,103.955139,2016-12-01 22:05:46,239498,1.299509,103.837,2/12/2016,66.64623576,1,132,18.0
3876,8BE05257F05B0117329214A61D92F9,2016-12-01 00:16:38,299939,1.338223,103.832729,2016-12-01 23:13:40,118426,1.291341,103.78047,2/12/2016,84.34788848,2,139,11.0
22095,9BFDF5AD84782179F0274EFE36B139,2016-12-01 08:43:38,730875,1.442564,103.789607,2016-12-01 16:54:16,729826,1.404971,103.790678,2/12/2016,76.39809191,52,101,25.0
3600,86BA6FB7D52BFC39AFF098A687BEDC,2016-12-01 00:15:11,169608,1.278978,103.834207,2016-12-01 23:41:47,460128,1.32785,103.9387,2/12/2016,64.20066169,2,142,3.0
25657,BA7092AA3BD96A9621E021077A7352,2016-12-01 11:56:55,238162,1.300256,103.839051,2016-12-01 23:21:44,760834,1.415166,103.833882,2/12/2016,80.38726295,72,140,9.0
15868,80D33214A6103171322E9ABDD7EDCB,2016-12-01 07:06:49,730540,1.428259,103.792599,2016-12-01 14:19:29,761645,1.42229,103.83839,2/12/2016,87.07165672,43,86,25.0
7133,7FCBE7BF437829E2F7419E6EB02B5A,2016-12-01 00:48:45,819643,1.355322,103.988337,2016-12-01 23:46:06,140129,1.293163,103.814305,2/12/2016,66.12853566,5,143,17.0
15082,96B9F74B9A0A5D72B677F79C911FE3,2016-12-01 06:55:02,310179,1.333926,103.850084,2016-12-01 15:06:28,120731,1.304212,103.762771,2/12/2016,69.9537791,42,91,12.0
20350,80DADAC2AFAC69106D553AB57E4217,2016-12-01 08:10:20,120371,1.320156,103.768283,2016-12-01 17:06:17,99448,1.299509,103.837,2/12/2016,81.00111,49,103,5.0
14661,898E8A1C1E2890C95A754E11446C44,2016-12-01 06:48:06,530142,1.353,103.88285,2016-12-01 23:59:47,367828,1.338263,103.880365,2/12/2016,78.64579656,41,144,19.0
15729,FB97C8A3A8BA235C356689933EA449,2016-12-01 07:04:58,550553,1.371766,103.871081,2016-12-01 23:04:35,398505,1.299509,103.837,2/12/2016,92.28545365,42,138,19.0
9355,58DE18A9083517A5488B19CE1168C2,2016-12-01 04:09:14,760149,1.431584,103.832604,2016-12-01 14:04:27,732625,1.433428,103.800003,2/12/2016,64.97319241,25,84,27.0
1085,A206934FDD40A0BB7736EA1D6E1844,2016-12-01 00:04:13,760624,1.417959,103.834849,2016-12-01 23:16:30,760638,1.420333,103.838396,2/12/2016,68.74154874,0,140,27.0
18648,5910D0832ADD7A1665C3D18BD88453,2016-12-01 07:45:29,642682,1.343658,103.705558,2016-12-01 12:10:11,486150,1.332875,103.959004,2/12/2016,82.07012618,46,73,22.0
3326,A4F4584A5D5C7D0D0DC62CBF9DBADD,2016-12-01 00:13:52,609778,1.342216,103.735154,2016-12-01 21:59:41,596742,1.342388,103.769101,2/12/2016,64.25297915,1,132,22.0
23673,A20714237FB54E7E205FC7BF1AA511,2016-12-01 09:32:34,457402,1.310547,103.926955,2016-12-01 20:14:10,328190,1.324029,103.864906,2/12/2016,72.00468192,57,121,15.0
17848,52B16EA6F128607C85F5331560158C,2016-12-01 07:34:37,470130,1.333485,103.912262,2016-12-01 16:34:03,152028,1.286355,103.809689,2/12/2016,70.98379244,45,99,16.0
18193,EFBA7F0389EB5A4F1128B51AFD045A,2016-12-01 07:39:27,760314,1.431632,103.841751,2016-12-01 15:58:03,238163,1.300711,103.837924,2/12/2016,79.73433797,46,96,27.0
22669,6191133392680BC6B71217C88168ED,2016-12-01 08:58:26,689677,1.386074,103.742344,2016-12-01 23:41:39,738692,1.431931,103.762002,2/12/2016,79.09602957,54,142,23.0
14485,36F33B766157BE77D3E6B9473A77FC,2016-12-01 06:45:21,179031,1.291202,103.844273,2016-12-01 10:08:40,608828,1.338182,103.750754,2/12/2016,76.15935809,40,61,6.0
11969,8BED69EF4EDF713D2D96B6AB2BA115,2016-12-01 06:02:23,730771,1.446747,103.79816,2016-12-01 13:04:36,48946,1.281901,103.849939,2/12/2016,83.61862328,36,78,25.0
14575,0EBF6FBF1D20EEE62552A927D0F019,2016-12-01 06:46:52,640705,1.34078,103.694741,2016-12-01 11:53:28,129857,1.315889,103.767747,2/12/2016,73.77334857,41,71,22.0
5468,0842F2402DCBE2B06DE0CE493E942F,2016-12-01 00:28:00,228510,1.304574,103.835553,2016-12-01 14:05:00,322101,1.319673,103.861129,2/12/2016,77.790058,3,84,9.0
20300,E57C213386D9CE480237E256D8DB05,2016-12-01 08:09:39,307506,1.321061,103.844476,2016-12-01 12:26:34,528735,1.355802,103.941912,2/12/2016,66.2799529,49,75,11.0
1438,7965F9949E4CC24950DBC1A9B1E56D,2016-12-01 00:05:28,819642,1.362159,103.990051,2016-12-01 23:32:01,465417,1.32772,103.944667,2/12/2016,83.52557362,0,141,17.0
22479,25465E532F1008DB8EE5DCFF400EEB,2016-12-01 08:53:29,509737,1.359934,103.964911,2016-12-01 23:43:57,542297,1.394702,103.901115,2/12/2016,78.52325599,53,142,17.0
7389,DC4479E34B2520ED139DC926C44C75,2016-12-01 00:54:00,238895,1.301509,103.838394,2016-12-01 22:23:00,310143,1.335914,103.843912,2/12/2016,64.61329277,5,134,9.0
20061,B5B33684D2C0D580DF21C549E62C70,2016-12-01 08:06:00,531174,1.349319,103.888378,2016-12-01 16:21:00,530417,1.376436,103.894771,2/12/2016,68.00704329,49,98,19.0
17804,142B2761FAEDF58014A9E81C74709B,2016-12-01 07:34:02,530838,1.370206,103.891269,2016-12-01 18:36:38,760399,1.427571,103.847329,2/12/2016,98.79753967,45,112,19.0
9802,D5EFBEB13A59DF941B2A3CF0E0B8A0,2016-12-01 04:45:04,760233,1.434925,103.83803,2016-12-01 16:46:11,521866,1.355507,103.934462,2/12/2016,64.5807612,28,101,27.0
19350,283614E58287CA76BE670F9331E3C4,2016-12-01 07:55:39,310250,1.332019,103.856671,2016-12-01 19:46:11,787060,1.38606,103.840977,2/12/2016,72.34125685,48,119,12.0
2492,D31114B3F18EF0F3A56E41F048A577,2016-12-01 00:09:58,310221,1.342445,103.856933,2016-12-01 23:55:23,648346,1.340173,103.704606,2/12/2016,97.93093098,1,144,12.0
22413,2FAD0D26F358F42061F4CF108ECA91,2016-12-01 08:51:26,168733,1.284896,103.834309,2016-12-01 21:43:01,569530,1.370897,103.861914,2/12/2016,92.2294985,53,130,3.0
19376,2E44C7F134D4CD6177FD16B41AF58A,2016-12-01 07:56:00,544178,1.299509,103.837,2016-12-01 21:23:24,288428,1.327974,103.811042,2/12/2016,97.3011428,48,128,19.0
13807,222593D2CC2CE5A654F74C1FCD73C1,2016-12-01 06:34:00,760701,1.429985,103.82864,2016-12-01 08:35:00,819642,1.362159,103.990051,2/12/2016,64.98447962,39,52,27.0
22837,15637A77AB023D0EF0ECAC0EDDA319,2016-12-01 09:03:15,670509,1.386722,103.76884,2016-12-01 23:02:03,520325,1.352561,103.959111,2/12/2016,71.57228743,54,138,23.0
10488,3F41CFA720014D1C67409BF9950928,2016-12-01 05:15:04,650325,1.36233,103.747058,2016-12-01 14:24:12,609930,1.32954,103.747567,2/12/2016,66.34412553,32,86,23.0
14633,9F30A3EA5CD37C15A09F2101373CC1,2016-12-01 06:47:38,298205,1.325944,103.815262,2016-12-01 21:31:04,791471,1.396632,103.880516,2/12/2016,74.27405871,41,129,11.0
20120,BB98702494189B00BFF9482C285A6E,2016-12-01 08:06:45,822671,1.405668,103.911994,2016-12-01 15:08:05,575715,1.361273,103.839252,2/12/2016,97.69055366,49,91,19.0
11674,F107C5D598162E906EFD7BCA228FD7,2016-12-01 05:56:05,120711,1.305275,103.76105,2016-12-01 23:35:10,258484,1.305573,103.823716,2/12/2016,86.42282664,36,142,5.0
6805,112CE8344E58FF00636BD46D8755C9,2016-12-01 00:43:16,48580,1.281712,103.851423,2016-12-01 06:05:24,547457,1.361905,103.881887,2/12/2016,64.74643065,4,36,1.0
15942,4D06CCB2CD7C3DDEE1C92956B9CBE8,2016-12-01 07:07:56,600030,1.320877,103.738797,2016-12-01 15:52:53,600049,1.321066,103.738168,2/12/2016,74.42358123,43,95,22.0
20636,7586DE094971A0CFE00EFFCAFBB8E1,2016-12-01 08:15:18,650130,1.351052,103.745939,2016-12-01 16:52:00,534416,1.337059,103.89194,2/12/2016,66.03295935,50,101,23.0
20761,F7B0772323B4F9480011FEB0F8ACE4,2016-12-01 08:17:06,823642,1.398556,103.916191,2016-12-01 20:12:44,519599,1.379085,103.955139,2/12/2016,64.05631805,50,121,19.0
11675,EAFA25F7D7A6EBFA1678383F24AB06,2016-12-01 05:56:06,523856,1.352594,103.93743,2016-12-01 17:08:57,819642,1.362159,103.990051,2/12/2016,92.04685353,36,103,18.0
8120,E10D333FEF1B75F13B2D6495C9822B,2016-12-01 01:16:47,238977,1.292359,103.840843,2016-12-01 23:30:01,544333,1.394249,103.892157,2/12/2016,70.47558101,8,141,9.0
14375,C618AE189089F3FFBC3E3A7AA3C67B,2016-12-01 06:43:53,644272,1.35111,103.704525,2016-12-01 23:46:29,640675,1.345483,103.703187,2/12/2016,64.56757169,40,143,22.0
20268,DF5FC8558375F18FFB3C27A0CBE249,2016-12-01 08:09:10,550107,1.36991,103.870069,2016-12-01 17:13:09,228796,1.301793,103.840857,2/12/2016,73.76704376,49,103,19.0
11168,1EF566C8A4F7FF5951ADAEB1DE3ACB,2016-12-01 05:39:53,470133,1.332419,103.911764,2016-12-01 13:28:25,460214,1.326024,103.93243,2/12/2016,66.33474166,34,81,16.0
13363,1A5302764F52E89EA47D72464E2FED,2016-12-01 06:26:54,530662,1.374423,103.88261,2016-12-01 21:01:12,554878,1.360258,103.86668,2/12/2016,67.97009547,39,126,19.0
19184,CC42D43115CC6AE6D6E787F7144BE8,2016-12-01 07:53:14,470632,1.332034,103.91397,2016-12-01 15:02:56,819643,1.355322,103.988337,2/12/2016,77.51185644,47,90,16.0
18400,B8BC48E3A7A939ECD296B749ED52B3,2016-12-01 07:42:08,228234,1.31249,103.837993,2016-12-01 16:31:18,731748,1.444781,103.795142,2/12/2016,75.25015714,46,99,9.0
22455,BDE1DD3960FA89B1FFF86714BE2816,2016-12-01 08:52:50,601285,1.338515,103.746278,2016-12-01 17:28:03,648403,1.352909,103.698536,2/12/2016,77.06093596,53,105,22.0
10695,039F7FFF23491C8F95EBF31E55D5C5,2016-12-01 05:22:39,530683,1.373235,103.886822,2016-12-01 23:43:33,536740,1.350969,103.884094,2/12/2016,65.85890383,32,142,19.0
18057,AF78853988BB90050BC6217B82F183,2016-12-01 07:37:18,465534,1.328692,103.945889,2016-12-01 13:59:23,499931,1.3683,103.979106,2/12/2016,66.5913539,46,84,16.0
11083,E1D254C8F3ECCC4FCA4A4588ADDC64,2016-12-01 05:37:00,438051,1.298766,103.888545,2016-12-01 23:47:00,248304,1.295106,103.828873,2/12/2016,98.8349173,34,143,15.0
25123,B8CDE30F2A85BB668D2F3086C878CA,2016-12-01 11:06:23,440054,1.305411,103.91469,2016-12-01 16:53:01,819663,1.356716,103.98651,2/12/2016,65.0182709,67,101,15.0
19574,A0AED90DE852297A60A75214B73FEA,2016-12-01 07:59:10,330028,1.318694,103.863233,2016-12-01 22:55:14,768930,1.444883,103.838506,2/12/2016,79.12231147,48,138,12.0
21258,4E83DC76CA804E00CC0A45D91AC437,2016-12-01 08:26:31,678267,1.376105,103.76368,2016-12-01 23:58:07,88752,1.299509,103.837,2/12/2016,84.0517506,51,144,23.0
12884,3DC97647BA849E2DFA84675123AAB5,2016-12-01 06:18:48,520319,1.351032,103.956293,2016-12-01 21:30:53,521316,1.35186,103.956992,2/12/2016,80.91295118,38,129,18.0
