No,Driver_ID,Start_Time,Start_Post,Start_Latitude,Start_Longitude,End_Time,End_Post,End_Latitude,End_Longitude,Schedule_Date,Service_Quality,Start_Slot,End_Slot,DistrictCode
11129,3AFB94E22DFF23BC3A20F6E133ADD4,2016-12-01 05:38:34,730032,1.444253,103.772675,2016-12-01 13:49:01,228796,1.301793,103.840857,2/12/2016,83.01066201,34,83,25.0
2850,A4A2B2FB300FBFFB3C7FCCCAE507E6,2016-12-01 00:11:32,486026,1.334129,103.965824,2016-12-01 23:07:10,680230,1.380354,103.746196,2/12/2016,83.45605665,1,139,16.0
8077,189478B97A3ED60B59776F66A8603E,2016-12-01 01:15:01,323104,1.320649,103.853325,2016-12-01 23:10:41,530685,1.37526,103.886006,2/12/2016,82.72950944,8,139,12.0
10231,838D66248B490CB1D821EEAFD755E5,2016-12-01 05:05:00,278967,1.310177,103.795313,2016-12-01 16:16:41,237983,1.291732,103.842458,2/12/2016,88.4203749,30,98,10.0
4122,3C21432D538B18002FBA6CEC7D74C3,2016-12-01 00:18:03,760624,1.417959,103.834849,2016-12-01 21:58:53,520929,1.346349,103.939481,2/12/2016,83.68264399,2,132,27.0
5988,DD6BD32171BAF8D9A72511422D661C,2016-12-01 00:32:45,819643,1.355322,103.988337,2016-12-01 23:54:11,547207,1.384394,103.897511,2/12/2016,85.9149576,3,143,17.0
2052,65B122AC8AD281F4CE5D8FB347FAD3,2016-12-01 00:08:03,569540,1.371887,103.861364,2016-12-01 23:55:41,760147,1.431326,103.831777,2/12/2016,78.09266658,1,144,20.0
10495,406F2B7FC8ED66C70AC5524676DDE1,2016-12-01 05:15:35,610359,1.336414,103.72128,2016-12-01 21:58:53,388791,1.312172,103.875927,2/12/2016,88.91564511,32,132,22.0
15576,B10AFAB5F44A27769C4A536FEF12C8,2016-12-01 07:02:40,760709,1.428631,103.827521,2016-12-01 13:44:05,575954,1.345712,103.845871,2/12/2016,78.52691721,42,82,27.0
17129,22E42905BD6E9B1A54E3CD0F0A613A,2016-12-01 07:24:42,760239,1.434031,103.839514,2016-12-01 19:44:53,310023,1.334599,103.857111,2/12/2016,86.2616756,44,118,27.0
16542,9BD622CC7CEFE018C55375D43B2101,2016-12-01 07:16:34,760170,1.437168,103.83257,2016-12-01 19:23:22,760657,1.422296,103.839297,2/12/2016,95.31717186,44,116,27.0
12644,ACFC8CCC9EE4F6F01298A66A6E88D4,2016-12-01 06:14:55,680456,1.379032,103.735201,2016-12-01 14:41:25,228510,1.304574,103.835553,2/12/2016,78.55456817,37,88,23.0
19184,CC42D43115CC6AE6D6E787F7144BE8,2016-12-01 07:53:14,470632,1.332034,103.91397,2016-12-01 15:02:56,819643,1.355322,103.988337,2/12/2016,85.54277789,47,90,16.0
15589,4FB5C1EA71F2307C3BD0E71A657364,2016-12-01 07:02:46,169075,1.288842,103.834139,2016-12-01 13:39:59,247912,1.304998,103.825894,2/12/2016,78.12154275,42,82,3.0
9386,87888DF3E7435AA77165F63B1F1AC8,2016-12-01 04:11:41,486029,1.332843,103.965234,2016-12-01 23:51:06,461515,1.299509,103.837,2/12/2016,59.3286198,25,143,16.0
24080,408015D71DE720377F49CDD3613581,2016-12-01 09:51:30,670603,1.381575,103.762133,2016-12-01 16:26:50,670163,1.376268,103.764401,2/12/2016,78.35821322,59,99,23.0
13363,1A5302764F52E89EA47D72464E2FED,2016-12-01 06:26:54,530662,1.374423,103.88261,2016-12-01 21:01:12,554878,1.360258,103.86668,2/12/2016,82.99471391,39,126,19.0
9932,FF192EAA331F16E5746C1CFC0C7BD6,2016-12-01 04:51:42,120336,1.316638,103.769127,2016-12-01 09:33:45,118483,1.27239,103.801433,2/12/2016,72.54642937,29,57,5.0
6269,776671101905012249F69F2074AD2C,2016-12-01 00:35:45,119953,1.278912,103.802439,2016-12-01 23:55:21,821261,1.404865,103.896133,2/12/2016,76.37903729,4,144,5.0
1281,0F9F0CE0873CBE89551F7FA9FF8D3B,2016-12-01 00:04:54,609601,1.334938,103.746872,2016-12-01 23:49:05,398159,1.313265,103.888422,2/12/2016,83.65057146,0,143,22.0
12123,59F849AEB1EE5EBCC9A18B3512A64C,2016-12-01 06:05:17,598730,1.354792,103.766907,2016-12-01 15:26:48,518176,1.370543,103.945641,2/12/2016,84.9489454,36,93,21.0
15694,9B0D51ABC5A3FF8929215DA6A07B4C,2016-12-01 07:04:23,670525,1.386726,103.765116,2016-12-01 19:22:41,597176,1.324348,103.767891,2/12/2016,76.95167358,42,116,23.0
14242,BADDF0F86BB13D4165C3BC28305F2A,2016-12-01 06:41:27,734689,1.444384,103.808769,2016-12-01 20:09:42,118454,1.279982,103.793694,2/12/2016,94.99974912,40,121,25.0
22362,67F1E257A0161CF1F1065579F62B93,2016-12-01 08:49:49,99200,1.268426,103.824677,2016-12-01 10:51:32,48624,1.285361,103.85054,2/12/2016,58.74902712,53,65,4.0
12110,6EB1ADDDCA6EA549C42CA66F093166,2016-12-01 06:05:00,521108,1.347925,103.948375,2016-12-01 18:52:33,791414,1.389164,103.879883,2/12/2016,84.80987732,36,113,18.0
5468,0842F2402DCBE2B06DE0CE493E942F,2016-12-01 00:28:00,228510,1.304574,103.835553,2016-12-01 14:05:00,322101,1.319673,103.861129,2/12/2016,65.81317226,3,84,9.0
15352,613CC3B8BE8EC302A9E592CAE33B6C,2016-12-01 06:59:00,530115,1.352785,103.88785,2016-12-01 16:03:49,208699,1.307527,103.863101,2/12/2016,56.88295206,42,96,19.0
21630,B621E0CFE682BCE798C1148696084B,2016-12-01 08:33:43,569788,1.385326,103.842089,2016-12-01 23:49:36,389279,1.311959,103.876178,2/12/2016,89.23198591,51,143,20.0
9599,7888CB6A281CB884DFD5F0DF03E55F,2016-12-01 04:30:42,640828,1.345053,103.693138,2016-12-01 11:57:01,640470,1.348161,103.721143,2/12/2016,61.05943446,27,72,22.0
13446,75446451F893179EB5939B24E5C645,2016-12-01 06:28:14,310163,1.331982,103.844093,2016-12-01 22:11:21,228234,1.31249,103.837993,2/12/2016,73.25799503,39,133,12.0
