No,Booking_ID,Vehicle_ID,Driver_ID,Trip_start_DT,Trip_end_DT,Start_Post,End_Post,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Fare,Distance,Order_Type,Start_Time,End_Time,Start_Slot,End_Slot,Patience_Level,DistrictCode
100051,D5833B0A61BD2A31660B393800FFC9,94C92A857FCF90DF3D307AF795DDC3,295E6F64F05A1D8EDFC6812C02699D,2016-12-01 10:02:00,2016-12-01 10:18:00,18987,119953,1.280783,103.8526,1.278912,103.8024,9.8,9.8,Street-Hailing,2021-12-02 10:02:25,2021-12-02 10:18:34,60.0,62.0,148,1.0
57736,1E299F1664E7A2B3A601C3F41D3FD5,2E890DD55512255DC08E1796F631EB,D4B1B9B630D7B55B93781AAFDDC064,2016-12-01 07:39:00,2016-12-01 07:47:00,760442,1,1.423363,103.845473,1.292474,103.856522,7.05,1.5,Street-Hailing,2021-12-02 07:39:23,2021-12-02 07:47:34,46.0,47.0,59,27.0
40105,0F5953F62F766C7843BE1F2615439C,BAED22C9BE99BF55656F04102A6C0A,4D23A6EDF9B0A6BF7FA99CD09F93E5,2016-12-01 05:50:00,2016-12-01 05:59:00,39596,424381,1.291601,103.8602,1.311863,103.9062,11.4,7.9,Street-Hailing,2021-12-02 05:50:37,2021-12-02 05:59:07,35.0,36.0,115,1.0
109706,B2A08182341E3C5B1D331517A9FEC0,BC2A878AB2E1E4C41DB02FFAACA2E6,FFABD682EBDE36C7D1DB962FCAC1AC,2016-12-01 10:36:00,2016-12-01 10:41:00,58357,169659,1.285699,103.8437,1.289525,103.8405,5.0,1.5,Street-Hailing,2021-12-02 10:36:08,2021-12-02 10:41:34,64.0,64.0,30,1.0
94922,479A7D1DB3B572B6B1F9D3B30A4327,6981A183219335FAE5E65D45D91296,26731D146EB2985ED7B28AAF727D7A,2016-12-01 09:45:00,2016-12-01 09:55:00,520370,529604,1.357931,103.9595,1.350311,103.9286,7.0,4.1,Street-Hailing,2021-12-02 09:45:02,2021-12-02 09:55:41,58.0,60.0,71,18.0
45123,43BEC97EF38E7475B109A4664581B5,FD7A63FEE01A92FBC7C27FE90EDD34,43C562B844387A7B8D738B294699E8,2016-12-01 06:33:00,2016-12-01 06:45:00,159100,159100,1.290879,103.8127,1.290879,103.8127,9.25,5.2,Street-Hailing,2021-12-02 06:33:01,2021-12-02 06:45:05,39.0,40.0,112,3.0
96391,6E8086DAA7C02B31C4A5ECB753D493,B950FC420F03EB4AB91CD801E29DB7,35F8CFA72EE212D22E980263089F5E,2016-12-01 09:49:00,2016-12-01 10:05:00,530328,368358,1.368716,103.8963,1.337001,103.8834,11.25,5.8,Street-Hailing,2021-12-02 09:49:59,2021-12-02 10:05:55,59.0,60.0,157,19.0
68282,1F4DF242F2ED39BFF08234CB423503,D990C436FE4CCF691368B6441AFBE1,956FB4645B322ACC7EFF7D653CC2A7,2016-12-01 08:18:00,2016-12-01 08:41:00,569869,469680,1.375583,103.8562,1.329819,103.9319,19.65,15.0,Street-Hailing,2021-12-02 08:18:01,2021-12-02 08:41:47,50.0,52.0,60,20.0
124075,0E76A40B38A692B046D07ACD7D69FC,1245E3B5B7DC7EE0E9E6CC75289B4F,FDE990839799DA4A1FB386569EB412,2016-12-01 11:28:00,2016-12-01 11:40:00,521246,511216,1.352872,103.9471,1.368316,103.9612,7.2,4.3,Street-Hailing,2021-12-02 11:28:26,2021-12-02 11:40:16,69.0,70.0,40,18.0
92688,B7953A236510D244E81226BCAFFCEA,818F5E2D323E808A1F3D4CA7911D3D,BC5DB0D271996F142E78603FAF7A62,2016-12-01 09:37:00,2016-12-01 10:03:00,523168,18960,1.342437,103.9585,1.278968,103.8512,16.5,19.3,Street-Hailing,2021-12-02 09:37:35,2021-12-02 10:03:06,58.0,60.0,41,18.0
