No,Driver_ID,Start_Time,Start_Post,Start_Latitude,Start_Longitude,End_Time,End_Post,End_Latitude,End_Longitude,Schedule_Date,Service_Quality,Start_Slot,End_Slot,DistrictCode
2611,7052466D0709092D5022DB8B373094,2016-12-01 00:10:29,239695,1.301555,103.83666,2016-12-01 22:47:34,159958,1.289831,103.804225,2/12/2016,73.16025058,1,137,9.0
20943,860C50A2F8724663BDCAD830DBEAE6,2016-12-01 08:20:05,551535,1.373614,103.874401,2016-12-01 17:30:20,569141,1.387928,103.844052,2/12/2016,64.79732045,50,105,19.0
21133,CD87DBB553ABE928C595DFD1EE5408,2016-12-01 08:24:00,760855,1.417023,103.836634,2016-12-01 14:52:00,217692,1.314168,103.854858,2/12/2016,95.43880317,50,89,27.0
23813,31545A19F46921E08E8FE11360B015,2016-12-01 09:38:30,408941,1.325133,103.894161,2016-12-01 14:07:08,408706,1.328748,103.891756,2/12/2016,81.78260569,58,85,14.0
15527,0E63F3B0F86C0EAB3035CCE83F92CD,2016-12-01 07:01:51,541332,1.394679,103.892298,2016-12-01 16:35:24,381124,1.323058,103.883598,2/12/2016,87.94819145,42,100,19.0
10899,5F12BA72FE44CC3AB73AC71913B7DF,2016-12-01 05:30:41,461040,1.326088,103.926364,2016-12-01 15:22:26,822666,1.402175,103.914967,2/12/2016,95.07281267,33,92,16.0
18085,2A72A13C5E705C36BA47FC89C7B8A0,2016-12-01 07:37:47,530707,1.366227,103.88878,2016-12-01 10:43:08,486038,1.336056,103.963981,2/12/2016,77.11754553,46,64,19.0
12636,C66A9796445FD782B7FD8C377C644D,2016-12-01 06:14:40,161052,1.289197,103.828452,2016-12-01 17:10:43,228518,1.308084,103.835577,2/12/2016,79.27416486,37,103,3.0
21310,5AE613564C1260C97EF75F1049B900,2016-12-01 08:27:17,822617,1.402303,103.91239,2016-12-01 17:51:22,569500,1.371691,103.864672,2/12/2016,65.99863993,51,107,19.0
24835,3A899565C9045369693D67D60DD52F,2016-12-01 10:41:40,518457,1.372567,103.950162,2016-12-01 18:30:13,357920,1.336046,103.86743,2/12/2016,67.23484028,64,111,18.0
25,D14C1702983E83FC52BCA7A7E9A08C,2016-12-01 00:00:02,18953,1.281744,103.867383,2016-12-01 23:00:18,439445,1.312354,103.894609,2/12/2016,68.25960425,0,138,1.0
9824,C829760DF5381DA731517AC329C704,2016-12-01 04:46:21,329731,1.322817,103.85283,2016-12-01 17:41:08,228230,1.311777,103.836579,2/12/2016,86.57678814,29,106,12.0
12927,0F9883C2326753F21636F6E4C49DC4,2016-12-01 06:19:30,550230,1.355971,103.869265,2016-12-01 16:43:17,307623,1.317942,103.843306,2/12/2016,93.32226428,38,100,19.0
2295,20853A97ACF367D19F793B42FFEAFC,2016-12-01 00:09:06,239497,1.291076,103.834437,2016-12-01 23:30:41,730201,1.443275,103.774325,2/12/2016,67.94682165,1,141,9.0
2530,12315E6826D08805A2B5ADCE1358AD,2016-12-01 00:10:07,389446,1.313576,103.88372,2016-12-01 22:51:35,760390,1.429346,103.848376,2/12/2016,75.3292363,1,137,14.0
14908,1C4B88E87548B86B4344F10926D9F6,2016-12-01 06:52:15,650291,1.343683,103.755999,2016-12-01 15:45:55,437435,1.296547,103.866727,2/12/2016,86.1913992,41,94,23.0
12963,410464EC459CA8B751984E59E6CC78,2016-12-01 06:20:05,650325,1.36233,103.747058,2016-12-01 15:42:03,650534,1.355983,103.750208,2/12/2016,64.33575839,38,94,23.0
151,307ACB380FA15818068426A37B2E19,2016-12-01 00:00:30,486547,1.330703,103.966378,2016-12-01 23:30:14,508502,1.39073,103.986152,2/12/2016,64.65603063,0,141,16.0
8935,84495619467036CC5510D490B88B15,2016-12-01 03:03:33,731502,1.433308,103.791172,2016-12-01 13:46:48,758093,1.457378,103.803276,2/12/2016,67.31023296,18,83,25.0
21760,801B9B81B4FB83171D817C15B40ABD,2016-12-01 08:36:22,162118,1.282053,103.825836,2016-12-01 16:03:36,259736,1.299509,103.837,2/12/2016,64.35595094,52,96,3.0
23781,2004053E36E785D7F2E0D4C3A8D15D,2016-12-01 09:37:20,310100,1.339561,103.848506,2016-12-01 19:07:42,18953,1.281744,103.867383,2/12/2016,65.46295299,58,115,12.0
5594,18AFF6BE80CABD9EAFEB5BBA13F77F,2016-12-01 00:29:02,257814,1.309439,103.832625,2016-12-01 23:56:43,149602,1.306074,103.799359,2/12/2016,97.3362455,3,144,10.0
12935,3ED70D5D9E23D83C7C0436B21E552D,2016-12-01 06:19:39,520208,1.351418,103.953188,2016-12-01 16:07:25,819643,1.355322,103.988337,2/12/2016,74.46513152,38,97,18.0
11252,2916B33C899D77CF07C32AB3294BBB,2016-12-01 05:42:39,819643,1.355322,103.988337,2016-12-01 14:41:57,738750,1.42901,103.76415,2/12/2016,65.85692852,34,88,17.0
