No,Driver_ID,Start_Time,Start_Post,Start_Latitude,Start_Longitude,End_Time,End_Post,End_Latitude,End_Longitude,Schedule_Date,Service_Quality,Start_Slot,End_Slot,DistrictCode
15991,F4499B8021680C439D456CF0C54891,2016-12-01 07:08:37,100066,1.274098,103.809515,2016-12-01 17:43:26,239566,1.296849,103.837996,2/12/2016,81.02684094,43,106,4.0
21013,47A42B4CC7F1E92C5117D2A7A65332,2016-12-01 08:21:32,730324,1.431251,103.779671,2016-12-01 16:55:06,159965,1.288155,103.805666,2/12/2016,87.51109906,50,102,25.0
24585,A04F3489DF454F3992F8BC6CE7E192,2016-12-01 10:23:31,59660,1.28769,103.847304,2016-12-01 15:19:19,229313,1.302847,103.838528,2/12/2016,63.32164493,62,92,1.0
4526,3E53CC6C9E7D8F0798CD02E574D871,2016-12-01 00:20:28,58282,1.289129,103.844223,2016-12-01 23:21:37,680101,1.377895,103.75423,2/12/2016,76.37986351,2,140,1.0
14159,6E639D22C8822F16A2AFE419694EC5,2016-12-01 06:40:00,819663,1.356716,103.98651,2016-12-01 09:15:00,138607,1.304601,103.772313,2/12/2016,87.57800946,40,56,17.0
24678,F5B400B54805C9D1F052AA8F3AF480,2016-12-01 10:30:27,120358,1.313534,103.768992,2016-12-01 17:24:53,328427,1.327734,103.866269,2/12/2016,76.67153367,63,104,5.0
23020,62280DF7644E3BAC60A95D0F97CC2B,2016-12-01 09:08:54,560525,1.372623,103.854009,2016-12-01 17:56:50,1,1.292474,103.856522,2/12/2016,70.13562715,55,108,20.0
14380,8A9A194B47FEAAAC23ABDF9DEFAD23,2016-12-01 06:43:55,525496,1.361528,103.951084,2016-12-01 16:37:51,819642,1.362159,103.990051,2/12/2016,70.00397502,40,100,18.0
25430,FC9F44870B951580A7F1B592D6AE43,2016-12-01 11:34:24,238882,1.305578,103.830139,2016-12-01 21:41:12,543315,1.392459,103.887941,2/12/2016,76.4384968,69,130,9.0
19718,4634EDCAD76CF86E1057AE128B858C,2016-12-01 08:00:52,680788,1.395829,103.748309,2016-12-01 16:50:06,681476,1.376441,103.737799,2/12/2016,81.72083014,48,101,23.0
7453,62698B157F3DE274E21B3C988B9ABF,2016-12-01 00:55:40,310480,1.332253,103.848538,2016-12-01 06:04:56,289760,1.346096,103.791641,2/12/2016,68.56501519,6,36,12.0
2831,718AC037D13471B1539B1F4866F835,2016-12-01 00:11:29,39393,1.292009,103.85588,2016-12-01 23:38:47,530708,1.366651,103.889006,2/12/2016,87.33236184,1,142,1.0
11129,3AFB94E22DFF23BC3A20F6E133ADD4,2016-12-01 05:38:34,730032,1.444253,103.772675,2016-12-01 13:49:01,228796,1.301793,103.840857,2/12/2016,83.01066201,34,83,25.0
24425,DB0730F066F7EB83FE1071D065A9EC,2016-12-01 10:14:00,518184,1.377236,103.96113,2016-12-01 17:19:00,820179,1.399063,103.908652,2/12/2016,91.42513724,61,104,18.0
12253,8F0F561429A2D32DDB0B93ED13A01F,2016-12-01 06:07:44,530937,1.374681,103.879451,2016-12-01 16:20:15,540313,1.392463,103.887065,2/12/2016,83.08341299,37,98,19.0
12636,C66A9796445FD782B7FD8C377C644D,2016-12-01 06:14:40,161052,1.289197,103.828452,2016-12-01 17:10:43,228518,1.308084,103.835577,2/12/2016,90.0155109,37,103,3.0
10256,EAB419BA625608AA83A12295AD910A,2016-12-01 05:06:02,560623,1.382653,103.840837,2016-12-01 16:10:06,658065,1.337164,103.759705,2/12/2016,74.34842224,31,97,20.0
9782,20512FE31CAE20429EF8A4612E390D,2016-12-01 04:44:02,570453,1.359033,103.829664,2016-12-01 17:38:08,309861,1.319373,103.833804,2/12/2016,78.21934035,28,106,20.0
7992,67D655BA53AB91D16CD2FACE155CE7,2016-12-01 01:11:16,98803,1.299509,103.837,2016-12-01 05:25:33,597006,1.333859,103.759655,2/12/2016,85.12822985,7,32,4.0
1740,2952231A57278E3E43C68A0FFC6CF9,2016-12-01 00:06:39,79718,1.299509,103.837,2016-12-01 22:53:38,670519,1.387955,103.766073,2/12/2016,60.19419904,1,137,2.0
24714,26EADE628A6935D5952F3CEBFE837F,2016-12-01 10:32:08,530931,1.375572,103.880497,2016-12-01 18:33:23,541258,1.393069,103.896931,2/12/2016,76.47126793,63,111,19.0
11168,1EF566C8A4F7FF5951ADAEB1DE3ACB,2016-12-01 05:39:53,470133,1.332419,103.911764,2016-12-01 13:28:25,460214,1.326024,103.93243,2/12/2016,100.0,34,81,16.0
23309,07BDAC27AD4914F97FBDCFAAE9CA1D,2016-12-01 09:18:00,640836,1.34317,103.693313,2016-12-01 16:07:00,640849,1.345775,103.69171,2/12/2016,80.03284542,56,97,22.0
20776,59C1EC5293422963E8C97FE859A351,2016-12-01 08:17:29,763424,1.423433,103.848629,2016-12-01 16:10:21,543201,1.387131,103.893629,2/12/2016,89.34202406,50,97,27.0
1179,2AC5BE23E22AD03BB88820BDAC90C1,2016-12-01 00:04:33,49907,1.285861,103.852475,2016-12-01 23:53:17,601217,1.340417,103.738385,2/12/2016,76.95303496,0,143,1.0
9520,0EA7535EDB8D813DBE1D1F57652C03,2016-12-01 04:24:21,169568,1.287275,103.827865,2016-12-01 13:14:12,238462,1.299927,103.840513,2/12/2016,83.39643155,26,79,3.0
11000,E74A2C2CAB7A456567F98737012729,2016-12-01 05:33:54,680631,1.396592,103.748029,2016-12-01 15:37:26,688847,1.382596,103.75036,2/12/2016,75.18186644,33,94,23.0
10262,2ABF14E5B18518C123637AFE38EC3A,2016-12-01 05:06:25,650152,1.348204,103.744198,2016-12-01 14:27:53,608604,1.337376,103.752037,2/12/2016,78.70230944,31,87,23.0
25377,FD304628BFB6EA8284ECB17E8F63A1,2016-12-01 11:29:26,424780,1.31583,103.897113,2016-12-01 23:41:07,510515,1.374208,103.94295,2/12/2016,100.0,69,142,15.0
10953,D22A847EB63865E1CC25885555C026,2016-12-01 05:32:06,590005,1.338216,103.77446,2016-12-01 15:51:04,728771,1.406994,103.748129,2/12/2016,75.35139489,33,95,21.0
3193,12983C9D440250C26C83FE623E573B,2016-12-01 00:13:07,188021,1.299369,103.854921,2016-12-01 23:50:53,670147,1.376071,103.765608,2/12/2016,89.79122498,1,143,7.0
8397,626827DBFBFEBAAF1DD92D14F70522,2016-12-01 01:36:14,238883,1.30592,103.829355,2016-12-01 23:07:06,670259,1.376976,103.773569,2/12/2016,86.08019387,10,139,9.0
21825,E67763AF9BEC3D68F61B45036EC06E,2016-12-01 08:37:51,238840,1.300618,103.842224,2016-12-01 16:24:32,99701,1.254844,103.817643,2/12/2016,89.47980777,52,98,9.0
714,D84B234FDF43F8A6B31CBE2297708D,2016-12-01 00:02:48,239693,1.30142,103.837238,2016-12-01 23:56:30,730762,1.44608,103.796239,2/12/2016,86.4205974,0,144,9.0
20230,C4CB09DBA765C44782ECCCC481A58A,2016-12-01 08:08:34,140048,1.293723,103.807594,2016-12-01 14:32:27,819663,1.356716,103.98651,2/12/2016,66.6525423,49,87,3.0
919,2B2E6F67A75C3E04F07C6851251293,2016-12-01 00:03:31,69537,1.299509,103.837,2016-12-01 23:45:29,427324,1.315053,103.904995,2/12/2016,78.11542204,0,142,1.0
23219,0F7271D1D67813D95318969E1DC3A0,2016-12-01 09:15:00,150036,1.288489,103.808685,2016-12-01 16:59:00,600109,1.338341,103.73586,2/12/2016,76.09523003,56,102,3.0
14376,8F40A504A839B34AA11DE7D4796A12,2016-12-01 06:43:53,792435,1.393283,103.876665,2016-12-01 16:24:26,544997,1.383673,103.890223,2/12/2016,83.92745976,40,98,28.0
23925,37953FF88FDA0957927038816A3FD1,2016-12-01 09:43:18,791416,1.390427,103.879808,2016-12-01 22:42:45,530930,1.375388,103.881391,2/12/2016,85.64754178,58,136,28.0
18249,E41521E7549E203D244D374A5F2342,2016-12-01 07:40:11,768445,1.413707,103.834822,2016-12-01 15:03:51,308441,1.322189,103.846468,2/12/2016,76.00215644,46,90,27.0
1860,E990B86D5952E78C2AB1C37CECC755,2016-12-01 00:07:08,307684,1.319831,103.843998,2016-12-01 20:03:15,529426,1.349774,103.94402,2/12/2016,74.98972281,1,120,11.0
23110,339E8B6886E75359EF7E407A415A2F,2016-12-01 09:11:35,238863,1.30436,103.833751,2016-12-01 17:27:56,738103,1.444662,103.769618,2/12/2016,86.04257278,55,105,9.0
11263,9969C6A9FF2C0C097DEE4F3F9C8810,2016-12-01 05:43:00,310148,1.334671,103.843533,2016-12-01 17:00:59,628227,1.262933,103.702657,2/12/2016,93.8012418,34,102,12.0
13220,D9225EF88E4728A89361900D97B08F,2016-12-01 06:24:27,560412,1.36395,103.855117,2016-12-01 14:45:44,150059,1.288783,103.814348,2/12/2016,86.65517635,38,88,20.0
12741,AB7D60F2E0B3BAB0685873EB7ACFEF,2016-12-01 06:16:21,520827,1.349652,103.933901,2016-12-01 14:59:32,49439,1.287672,103.84888,2/12/2016,92.02286795,38,90,18.0
3437,1D423C14CB09C68ED78AEB4D206532,2016-12-01 00:14:22,239035,1.291378,103.841785,2016-12-01 23:56:38,670504,1.384563,103.766968,2/12/2016,81.64210385,1,144,9.0
17490,4ADDAB654052A29224FC5615EE4BF4,2016-12-01 07:29:30,530670,1.372944,103.884724,2016-12-01 17:11:17,540141,1.389409,103.904116,2/12/2016,68.36998836,45,103,19.0
17985,6E22AC257E8A3F987477FAD16DBEBE,2016-12-01 07:36:26,680553,1.395774,103.743323,2016-12-01 20:55:44,683688,1.4032,103.750966,2/12/2016,62.4859537,46,126,23.0
8437,A5E2A71E7F7D04B8AB08497D7CDA84,2016-12-01 01:41:03,819642,1.362159,103.990051,2016-12-01 21:18:03,573974,1.359527,103.84583,2/12/2016,82.67717473,10,128,17.0
9530,6DE56934D89BF1B506B16550EC8E62,2016-12-01 04:24:54,670173,1.379847,103.766734,2016-12-01 07:46:32,329562,1.322947,103.845714,2/12/2016,72.15991949,26,47,23.0
12443,74D04E3BBB392C092D11A38295ECD4,2016-12-01 06:11:14,640538,1.350125,103.715762,2016-12-01 17:38:35,649848,1.334908,103.706428,2/12/2016,47.37415793,37,106,22.0
