No,Booking_ID,Vehicle_ID,Driver_ID,Trip_start_DT,Trip_end_DT,Start_Post,End_Post,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Fare,Distance,Order_Type,Start_Time,End_Time,Start_Slot,End_Slot,Patience_Level,DistrictCode
61001,07A39E9211C3C657B0011AAEA7551F,05445AFCF95DD81FD4C9C2AB331CB6,C910459CD5E1659FFF082A0A2432DF,2016-12-01 07:51:00,2016-12-01 08:19:00,545024,486017,1.360665,103.883613,1.33593,103.963722,20.5,14.6,Booking,2021-11-24 07:51:58,2021-11-24 08:19:51,47.0,50.0,81,19.0
40311,E8628E3CAA390B06EC68A78603FEAE,3045309DD4F9A98776470374517A3F,0111C7C2F9F45654D531A0D82F6230,2016-12-01 05:53:00,2016-12-01 06:00:00,370088,438216,1.323564,103.8859,1.303711,103.8999,8.35,4.3,Street-Hailing,2021-11-24 05:53:19,2021-11-24 06:00:53,35.0,36.0,52,13.0
80337,E8D05070E60F5C9FC59D0F81AA9E96,B03FFF4A7604E353CC8548EE041D6F,8BD25BC19023F706EBD9E72883D859,2016-12-01 08:58:00,2016-12-01 09:06:00,228519,229538,1.30805,103.8354,1.307817,103.829,7.35,2.4,Street-Hailing,2021-11-24 08:58:38,2021-11-24 09:06:49,54.0,55.0,132,9.0
99533,E3946C6C95E43165EF32CAC3D54657,EBCBB661EB54C4C678776C09EAFA06,15DCBF581FDD01D272498CD4C4B13F,2016-12-01 10:00:00,2016-12-01 10:20:00,238873,533973,1.302707,103.8343,1.370183,103.9089,12.7,14.1,Street-Hailing,2021-11-24 10:00:41,2021-11-24 10:20:19,60.0,62.0,62,9.0
92442,32AA32AD1BD2576E19F6A6DDA9E469,EFB6D5CE8ADE3D29859C8C477179A0,290AC3ABF2859E605DD400EBF67EE7,2016-12-01 09:36:00,2016-12-01 10:04:00,520914,339416,1.348986,103.9395,1.310942,103.8657,15.9,11.1,Street-Hailing,2021-11-24 09:36:48,2021-11-24 10:04:09,58.0,60.0,33,18.0
86285,754DB594BA68384A811471C2F14D32,F5739E9F7C1F47F4EA1F3791C90640,96163F53EE3261B3C203296E3CD694,2016-12-01 09:17:00,2016-12-01 09:36:00,308380,49323,1.317164,103.843,1.283966,103.8536,12.2,5.5,Street-Hailing,2021-11-24 09:17:12,2021-11-24 09:36:11,56.0,58.0,51,11.0
128194,FD2D5971ACDE23C769869BF430B682,3C7ED2821DB5A6567C8474DC65C957,B11B3DEF5BD3823E955EE33555AFB6,2016-12-01 11:42:00,2016-12-01 12:16:00,521890,229899,1.347467,103.9281,1.310644,103.847,16.8,19.0,Street-Hailing,2021-11-24 11:42:47,2021-11-24 12:16:55,70.0,74.0,50,18.0
71935,71FE84E6C1ABB436F07F138FB0FE2D,58BBF6877C69327A934F5CE0EC1A21,6E2C03B39422E46571CAF3BE3FD5CC,2016-12-01 08:30:00,2016-12-01 09:01:00,650206,758314,1.34663,103.749368,1.469234,103.808138,24.05,19.3,Booking,2021-11-24 08:30:46,2021-11-24 09:01:39,51.0,54.0,64,23.0
37409,0D1D69F5967504E36D0A7D9D4A17E7,3E2AC57D2257B984B3316B0F96C6B5,6399F12C55B55D72E5FB3EE4E0196D,2016-12-01 05:18:00,2016-12-01 05:35:00,229538,669630,1.307817,103.829,1.356477,103.7613,16.0,12.1,Street-Hailing,2021-11-24 05:18:24,2021-11-24 05:35:52,32.0,34.0,178,9.0
31962,734FFC8C330470E24A66F1F23355A2,728ADCA834522B85604FE2853515F0,9F096CE0A3E8BC8B2D2DD325E8F382,2016-12-01 04:11:00,2016-12-01 04:13:00,50336,168716,1.282878,103.8426,1.285272,103.8331,6.15,1.3,Street-Hailing,2021-11-24 04:11:07,2021-11-24 04:13:32,25.0,25.0,100,1.0
93403,BABED9ABC9F22E3F447EA7C9E68FF7,265C3975AB7FECDBEED4E4B69AC644,A2BE0D2BFED57F9449555B51432479,2016-12-01 09:40:00,2016-12-01 10:11:00,610359,769162,1.336414,103.7213,1.410939,103.8437,19.0,23.7,Street-Hailing,2021-11-24 09:40:00,2021-11-24 10:11:00,58.0,61.0,35,22.0
