No,Driver_ID,Start_Time,Start_Post,Start_Latitude,Start_Longitude,End_Time,End_Post,End_Latitude,End_Longitude,Schedule_Date,Service_Quality,Start_Slot,End_Slot,DistrictCode
7641,84F5647125872F340FB17407CA146A,2016-12-01 01:00:10,819642,1.362159,103.990051,2016-12-01 23:34:06,209255,1.311889,103.85956,2/12/2016,74.44274922,6,141,17.0
19405,5E10E172E8473D2B1E7E08637296CD,2016-12-01 07:56:24,680670,1.403109,103.74775,2016-12-01 23:42:17,753463,1.299509,103.837,2/12/2016,88.5063942,48,142,23.0
25657,BA7092AA3BD96A9621E021077A7352,2016-12-01 11:56:55,238162,1.300256,103.839051,2016-12-01 23:21:44,760834,1.415166,103.833882,2/12/2016,93.62917775,72,140,9.0
1848,BB1ADB6806159A9EAE0FA38FAC6E26,2016-12-01 00:07:05,819642,1.362159,103.990051,2016-12-01 22:51:32,160122,1.283358,103.828692,2/12/2016,82.1979082,1,137,17.0
16676,E1DD876630A761A0C63F49EB53778A,2016-12-01 07:18:32,486149,1.331265,103.960161,2016-12-01 16:18:05,529542,1.354404,103.942418,2/12/2016,87.56950126,44,98,16.0
16079,8957127773C056CF6987509E46FB98,2016-12-01 07:10:15,522201,1.353504,103.952866,2016-12-01 15:30:51,819661,1.357373,103.98807,2/12/2016,78.06519529,43,93,18.0
12541,168A99FA2FE1335FE8353139A7C557,2016-12-01 06:12:55,819643,1.355322,103.988337,2016-12-01 15:32:12,229616,1.302504,103.841106,2/12/2016,90.11549346,37,93,17.0
31,EF585A9619EA1B62E87D39ED0C801C,2016-12-01 00:00:03,48583,1.281142,103.851928,2016-12-01 23:27:25,823196,1.399299,103.907519,2/12/2016,100.0,0,141,1.0
11083,E1D254C8F3ECCC4FCA4A4588ADDC64,2016-12-01 05:37:00,438051,1.298766,103.888545,2016-12-01 23:47:00,248304,1.295106,103.828873,2/12/2016,64.19934506,34,143,15.0
8413,92BA69FB82BF2E32CFB0837EBFE8D6,2016-12-01 01:37:52,460109,1.332156,103.934706,2016-12-01 23:50:00,150002,1.286675,103.806892,2/12/2016,70.91294458,10,143,16.0
215,71E3387F5F8E010D492FCD38610AA1,2016-12-01 00:00:45,188307,1.300626,103.849458,2016-12-01 23:46:12,769134,1.410547,103.831115,2/12/2016,86.50746647,0,143,7.0
2831,718AC037D13471B1539B1F4866F835,2016-12-01 00:11:29,39393,1.292009,103.85588,2016-12-01 23:38:47,530708,1.366651,103.889006,2/12/2016,87.33236184,1,142,1.0
20504,160BFD248E3F184A8272B9514F37FC,2016-12-01 08:13:00,380119,1.31953,103.886657,2016-12-01 16:22:00,730892,1.437225,103.789745,2/12/2016,81.74898811,49,98,14.0
5140,3E54C3747C73762B160F82044E6D56,2016-12-01 00:25:15,521107,1.348365,103.948013,2016-12-01 23:28:38,570212,1.356341,103.848045,2/12/2016,46.70112044,2,141,18.0
