No,Booking_ID,Vehicle_ID,Driver_ID,Trip_start_DT,Trip_end_DT,Start_Post,End_Post,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Fare,Distance,Order_Type,Start_Time,End_Time,Start_Slot,End_Slot,Patience_Level,DistrictCode
80099,F15DBE893E9533B8C5E7CFA01873B6,2DE3DF9AEC238998A4981852AEEA69,E82932D77C095DDB7898C46AF36B2E,2016-12-01 08:57:00,2016-12-01 09:27:00,763504,238877,1.417838,103.843545,1.30351,103.833056,24.95,18.8,Booking,2021-12-29 08:57:53,2021-12-29 09:27:00,54.0,57.0,161,27.0
69818,967028286E9D7BA98B72D8D2841F0B,D22C9771E18DF31C596584CFC5ECA0,C50E41DF1AF8D98D924DC2FC01D1C9,2016-12-01 08:23:00,2016-12-01 08:56:00,529904,381042,1.341659,103.9537,1.316635,103.876,17.7,10.0,Street-Hailing,2021-12-29 08:23:22,2021-12-29 08:56:07,50.0,54.0,67,18.0
100336,D064179CC23019E24E8E30C2C62E5F,CCCDFE854966A52EFF17E1E68A30C7,32344C99B342013FADAC486A113296,2016-12-01 10:03:00,2016-12-01 10:11:00,238113,258507,1.297784,103.83628,1.305331,103.819227,7.9,3.0,Booking,2021-12-29 10:03:22,2021-12-29 10:11:33,60.0,61.0,30,9.0
35545,08F7A2E6054101C5F97D62645EC619,D63B71B4626B48700316FEC7510384,1D150D50ED0D742457058F2F320B72,2016-12-01 04:56:00,2016-12-01 05:09:00,188307,571237,1.300626,103.8495,1.359197,103.8467,14.4,9.1,Street-Hailing,2021-12-29 04:56:17,2021-12-29 05:09:56,30.0,31.0,174,7.0
120342,0415E3BF2203F706E406ABE447EF34,83E8B76B1FD3958AE96F9D4D447C6D,7383D5685C7D96068A4C8FC6DC0C1F,2016-12-01 11:15:00,2016-12-01 11:39:00,554574,319260,1.374741,103.8683,1.33455,103.859,10.0,6.9,Street-Hailing,2021-12-29 11:15:00,2021-12-29 11:39:00,68.0,70.0,30,19.0
116508,FFA997DD64265AB930413B7D09FCE0,321147B0A6E215851DB3BC8CC8EF46,0E0E5AB2E6C2FC476089BC7B1F5AB1,2016-12-01 11:00:00,2016-12-01 11:08:00,257996,258423,1.305728,103.8241,1.311899,103.8196,5.45,1.2,Street-Hailing,2021-12-29 11:00:51,2021-12-29 11:08:04,66.0,67.0,140,10.0
33848,ABE274CE35BCD8A02888CDAE43EC12,54326427C6F98B49F2A8DA659529E9,E1D21886B93C41CA471C04F193077B,2016-12-01 04:35:00,2016-12-01 04:46:00,169662,310202,1.289502,103.8357,1.341695,103.8495,14.1,10.4,Street-Hailing,2021-12-29 04:35:31,2021-12-29 04:46:49,28.0,29.0,159,3.0
40329,281C754F140565DCA83C773F991FCB,18DA016BFC8B098C9D9EC4C4C7234A,2F6D48196B2707B196EDB5AC55052C,2016-12-01 05:53:00,2016-12-01 06:08:00,229572,560106,1.307714,103.8318,1.371994,103.8373,14.7,11.5,Street-Hailing,2021-12-29 05:53:32,2021-12-29 06:08:42,35.0,37.0,42,9.0
79999,CCD09C999E1C2558F9A693AC3EF267,C0CA0C2B2D4B0693F8AF957857899C,62588B7020BACCE5085B0CA4E68FD9,2016-12-01 08:57:00,2016-12-01 09:10:00,569206,569087,1.374262,103.8515,1.389758,103.8456,8.4,2.7,Street-Hailing,2021-12-29 08:57:28,2021-12-29 09:10:25,54.0,55.0,107,20.0
100145,182A2345B6520641FFA419EC49E791,82A8E790D2C137DDCC3B2575EE7E2D,D56D23DEEF86F7048A5C6192FCA65D,2016-12-01 10:02:00,2016-12-01 10:26:00,238212,530021,1.290923,103.8381,1.364231,103.8913,12.9,12.6,Street-Hailing,2021-12-29 10:02:43,2021-12-29 10:26:07,60.0,63.0,85,9.0
40971,5A8D394F1B6BAFF782DBBADD8C265E,9E306FB626471515D0952656FF57ED,3247BD42A07A930DB9E452FE5767A4,2016-12-01 06:00:00,2016-12-01 06:13:00,520734,819642,1.358161,103.9344,1.362159,103.9901,11.4,10.0,Street-Hailing,2021-12-29 06:00:15,2021-12-29 06:13:31,36.0,37.0,55,18.0
116095,E2FBF38222CCC2638DAC5F6BE9D3F5,0DBF3C227608A4E72CCD3CA5D6908D,42B9E4EE38B16FDAD7AA5DB5CCD2BF,2016-12-01 10:59:00,2016-12-01 11:05:00,460065,479247,1.324722,103.9397,1.337586,103.9301,5.45,2.2,Street-Hailing,2021-12-29 10:59:21,2021-12-29 11:05:49,66.0,66.0,166,16.0
124746,D65984569AE0F7061DDE13304A077C,4FCF1847AD1217BD47696A95F9F52D,AD1CC5F609666ADA696DBD839A3065,2016-12-01 11:30:00,2016-12-01 11:38:00,440087,448909,1.302638,103.9056,1.307723,103.9251,6.55,4.5,Street-Hailing,2021-12-29 11:30:56,2021-12-29 11:38:46,69.0,70.0,139,15.0
112117,6F2AE12CFD14650A74450CEFEE8771,E5495BE94573D43B4174A7C8506506,565891990051D934AD21F899EA81AF,2016-12-01 10:44:00,2016-12-01 10:49:00,228218,249795,1.307909,103.8329,1.299877,103.8234,5.0,1.7,Street-Hailing,2021-12-29 10:44:52,2021-12-29 10:49:33,64.0,65.0,140,9.0
76307,CFDAC9283AED921DEC7540ED0C6394,F36ED916A07AD0A0E13496B3BC1B80,14B040E3D902D9655542B586268939,2016-12-01 08:45:00,2016-12-01 09:09:00,258499,349247,1.307048,103.8197,1.322205,103.875,14.75,10.1,Street-Hailing,2021-12-29 08:45:40,2021-12-29 09:09:48,52.0,55.0,141,10.0
113179,8DB89CA6D196639F7546EE3F536633,2F700C780D1E15B9A4DF653525F612,86966C8CC850A5741BEAE54C5BA199,2016-12-01 10:48:00,2016-12-01 10:56:00,643664,639798,1.338258,103.7032,1.344233,103.6801,6.3,4.0,Street-Hailing,2021-12-29 10:48:27,2021-12-29 10:56:25,65.0,66.0,37,22.0
74898,85102E436C6DC0AC33E85E5FE6B06B,9F5E51909635BD502249C0B1AF964B,22067CB54A7B24764186F1E48CB458,2016-12-01 08:41:00,2016-12-01 08:42:00,760390,760388,1.429346,103.8484,1.429294,103.8472,4.0,0.0,Street-Hailing,2021-12-29 08:41:00,2021-12-29 08:42:00,52.0,52.0,33,27.0
116264,3F7990123705570345369057AABAC2,7594987AA1122E23FE2D605ECC3B79,28F0A3079886F89FEE7874790B5D96,2016-12-01 11:00:00,2016-12-01 11:14:00,228519,18971,1.30805,103.8354,1.281526,103.8594,8.1,4.8,Street-Hailing,2021-12-29 11:00:00,2021-12-29 11:14:36,66.0,67.0,33,9.0
54950,1E82950A222E86977066C13496B149,8EE58EAB94DD77A1A2649A216D7DA0,98F6969D97A83DA4F83E0C10EB6F98,2016-12-01 07:28:00,2016-12-01 07:35:00,320086,347695,1.323189,103.8558,1.339325,103.8705,7.0,4.5,Street-Hailing,2021-12-29 07:28:08,2021-12-29 07:35:03,45.0,46.0,123,12.0
66565,E5A5B006F1212B3A85062309EAFC30,7AFDA2B112CE14AA610797D2376104,2B36587310914885A509C25BF152C2,2016-12-01 08:12:00,2016-12-01 08:38:00,239733,819643,1.299331,103.8385,1.355322,103.9883,21.55,23.0,Street-Hailing,2021-12-29 08:12:16,2021-12-29 08:38:25,49.0,52.0,55,9.0
125067,09C2E1E6524F170A086E9DD58D9ED2,33EE7A361F614CEB09AE1C41D51BE0,14FD120C6DEC7A65E76F4091CBD535,2016-12-01 11:32:00,2016-12-01 11:48:00,408940,530563,1.327215,103.9018,1.37998,103.8887,8.45,7.2,Street-Hailing,2021-12-29 11:32:00,2021-12-29 11:48:00,69.0,71.0,75,14.0
100567,D70AB7859D499A5EA09A73C0EC2204,C245FA720C65341E751DBE421BF127,05CE9E49E3FCFC7F299B1E9E5C88F5,2016-12-01 10:04:00,2016-12-01 10:16:00,287988,266312,1.33624,103.796843,1.323796,103.800982,8.8,3.5,Booking,2021-12-29 10:04:13,2021-12-29 10:16:10,60.0,62.0,97,11.0
130391,0F361FB212901B06E83D1ED12D3A82,DB4689062105105BF07FEF03DBD506,BF5DFCF1B7EBCF93945660E33B1FCA,2016-12-01 11:50:00,2016-12-01 12:10:00,119074,1,1.294736,103.7829,1.292474,103.8565,12.2,13.1,Street-Hailing,2021-12-29 11:50:02,2021-12-29 12:10:29,71.0,73.0,141,5.0
35715,C8A7F28F9C55ED3DD0FBBF814EBADC,EDDDDA02808317E282C0FA2908BA51,3C132D806606771C8F95F2CA65219A,2016-12-01 04:58:00,2016-12-01 05:14:00,670170,59817,1.378572,103.7661,1.288424,103.8467,19.75,16.3,Street-Hailing,2021-12-29 04:58:16,2021-12-29 05:14:45,30.0,31.0,168,23.0
87352,B80221411A1B4E9CC084FE10965B5F,4DD7AB267F73E613C370131D48342F,F35B70B940C1BD79BD0426D6B03D93,2016-12-01 09:20:00,2016-12-01 09:42:00,58288,533863,1.286008,103.8457,1.299509,103.837,14.15,13.1,Street-Hailing,2021-12-29 09:20:30,2021-12-29 09:42:10,56.0,58.0,130,1.0
133300,60574501D0030A79C7984F51AD71BC,A72E9AD9371BA1A9A80067553DB6AC,B04A0544093191F625D424AA0E177F,2016-12-01 11:59:00,2016-12-01 12:20:00,140089,390043,1.305436,103.7993,1.308184,103.8847,12.5,13.3,Street-Hailing,2021-12-29 11:59:46,2021-12-29 12:20:56,72.0,74.0,157,3.0
66762,A7FC78EAF3941F019D224911040FFA,D3A7B349551852106404BCE643B945,A7426F86A5F54128F91ED5E70B7E6B,2016-12-01 08:13:00,2016-12-01 08:20:00,140064,272004,1.299273,103.7972,1.312924,103.7876,5.9,2.2,Street-Hailing,2021-12-29 08:13:00,2021-12-29 08:20:00,49.0,50.0,138,3.0
85365,796D307C0748923B1444FF2F3DC100,D1CF1BAA44B155E8E0F2801009CA8C,68F39FF207F2EF9F4AFA56526A68A5,2016-12-01 09:14:00,2016-12-01 09:51:00,468505,118530,1.322763,103.948285,1.276217,103.794921,23.85,21.1,Booking,2021-12-29 09:14:26,2021-12-29 09:51:14,55.0,59.0,123,16.0
98416,D2AC7A64944A952CCF5EC904F16BC0,5785B991C8CED5E2C63858FDEEAA01,1FFB0C767C9AE0B1C0E5501455255B,2016-12-01 09:56:00,2016-12-01 10:37:00,768098,189721,1.438604,103.831283,1.299117,103.858961,20.65,21.0,Booking,2021-12-29 09:56:54,2021-12-29 10:37:22,60.0,64.0,156,27.0
96825,120CF4F4D3DB547D7BC0137B608747,9A74CC1090BC75FB6B3D5F8D5834A7,0A3173E0F02F7CA450B2505FA616E8,2016-12-01 09:51:00,2016-12-01 09:56:00,129799,119597,1.302377,103.767352,1.290903,103.777676,7.1,1.8,Booking,2021-12-29 09:51:26,2021-12-29 09:56:26,59.0,60.0,126,5.0
